# Binary Search Tree - DSA Assessment (CSV Format)

Below is your CSV data with 30 high-quality Binary Search Tree MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
BST Insertion Order Dependency,"**Three developers insert [5,3,7] into empty BST. Dev1: 5→3→7. Dev2: 3→5→7. Dev3: 7→5→3. All produce valid BSTs. Which statement about resulting tree structures is correct?**","Each insertion order produces different tree structure. Dev1: 5 root, 3 left, 7 right (balanced, height 1). Dev2: 3 root, 5 right, 7 right-right (right-skewed, height 2). Dev3: 7 root, 5 left, 3 left-left (left-skewed, height 2). Same elements, different structures. This is fundamental BST property: structure depends on insertion order, unlike heap which has canonical structure.",1,published,medium,understand,blank,dsa,blank,blank,blank,All three create identical tree structures,Structures differ but all maintain BST property,Only Dev1 creates valid BST,Requires balancing rotations to be valid,2
Delete Node With Two Children,"**Deleting node 50 with two children from BST. Two strategies: (1) replace with in-order predecessor (largest in left subtree), (2) replace with in-order successor (smallest in right subtree). For tree with 1M nodes, which strategy affects tree balance?**","Both strategies maintain BST property as predecessor < 50 < successor. Neither guarantees balance - deleted node replaced by leaf/node from subtree, potentially increasing height locally. For self-balancing trees (AVL/RB), additional rotations needed after replacement. Choice between predecessor/successor can be randomized to avoid systematic skew. Standard BST: either works, no balance guarantee.",1,published,hard,analyze,blank,dsa,blank,blank,blank,In-order predecessor maintains balance better,Neither strategy guarantees balance in standard BST,In-order successor required for correctness,Predecessor required for trees over 100K nodes,2
BST Range Query Optimization,"**E-commerce site filters products by price $100-$500. Products stored in BST by price. Simple approach: in-order traversal collecting matches - O(n). What optimization reduces unnecessary subtree visits?**

```python
def range_query(root, low, high, result):
    if not root:
        return
    
    # What pruning logic goes here?
    if _______________:
        range_query(root.left, low, high, result)
    
    if low <= root.val <= high:
        result.append(root.val)
    
    if _______________:
        range_query(root.right, low, high, result)
```

**What are the pruning conditions?**","Pruning: don't visit left subtree if root.val < low (all left values < low). Don't visit right subtree if root.val > high (all right values > high). Blanks: 'root.val > low' and 'root.val < high'. This reduces to O(h + k) where h=height, k=results, avoiding full O(n) traversal. BST ordering enables smart pruning unlike hash table requiring O(n) scan.",1,published,hard,apply,blank,dsa,blank,blank,blank,"Always traverse both subtrees, no pruning possible","Prune left if root.val < low, right if root.val > high",Visit left only if root in range,Requires preprocessing for optimization,2
BST vs AVL Insertion Performance,"**System inserts 1M sorted integers into empty tree. Standard BST creates right-skewed tree with O(n) height, making insertions O(n²) total. AVL tree performs rotations maintaining O(log n) height. What is the rotation count for AVL with 1M sorted insertions?**","AVL tree with sorted input: each insertion triggers rotations. For n sorted elements, approximately n rotations total (each insertion needs ~1 rotation). 1M insertions ≈ 1M rotations. Despite rotations, AVL maintains O(n log n) total insertion time vs BST's O(n²). Each rotation is O(1), so rotation overhead is O(n). Trade-off: consistent performance for additional constant-factor work.",1,published,hard,analyze,blank,dsa,blank,blank,blank,No rotations needed for sorted data,Approximately 1M rotations maintaining balance,O(log n) rotations total,Rotations don't affect performance,2
Find Kth Smallest Without Augmentation,"**BST with 100K nodes needs kth smallest element. In-order traversal until kth element: O(h + k) time. For k=99,999 (nearly largest), this is expensive. Can we improve without augmenting nodes with subtree sizes?**","Without augmentation, in-order traversal is optimal O(h + k). Finding kth smallest requires visiting k nodes in sorted order. BST structure doesn't help skip to kth directly. Augmentation (storing subtree size at each node) enables O(h) direct navigation. Trade-off: O(n) space for sizes, O(h) insertion updates vs O(h + k) queries without augmentation.",1,published,medium,analyze,blank,dsa,blank,blank,blank,Reverse in-order for kth smallest improves to O(h),No improvement without augmentation; need subtree sizes for O(h),Binary search on values achieves O(log k),Requires rebuilding tree,2
BST Floor and Ceiling,"**Dictionary lookup finds floor (largest ≤ target) and ceiling (smallest ≥ target). For target 23 in BST [5,10,15,20,25,30], floor=20, ceiling=25. What's the algorithmic pattern?**","Floor: track last node where value ≤ target, go right if current < target (might find larger floor), left if current > target. Ceiling: track last node where value ≥ target, go left if current > target (might find smaller ceiling), right if current < target. Both O(h) single pass. Wrong to do in-order traversal O(n).",1,published,medium,apply,blank,dsa,blank,blank,blank,Requires in-order traversal O(n),Single pass tracking candidate while navigating O(h),Binary search after array conversion,Two separate BST traversals needed,2
BST Successor Without Parent Pointer,"**Finding in-order successor of node N in BST without parent pointers. Two cases: (1) N has right child: successor is leftmost in right subtree. (2) N has no right child: successor is where? Without parent pointers, how to find?**","Case 1: leftmost node in right subtree - keep going left from N.right until NULL. Case 2 without parent: cannot determine successor without parent pointers or additional traversal. Need to traverse from root finding N, tracking last ancestor where N is in left subtree. Requires O(h) traversal from root. With parent pointers, O(h) upward walk.",1,published,hard,understand,blank,dsa,blank,blank,blank,Successor is always root,Cannot find efficiently without parent pointers; need root traversal,Rightmost node in left subtree,Use level-order traversal from N,2
BST Mode Value,"**BST contains duplicate values: [5,3,3,7,7,7,9]. Finding mode (most frequent value) requires counting occurrences. In-order traversal counts consecutive duplicates. Why does this work efficiently in BST?**","In-order traversal visits BST in sorted order. Duplicates appear consecutively, enabling O(1) counter increment. Track current value count, update mode when count exceeds max. Single pass O(n). In unsorted structure, need hash map O(n) space. BST's sorted property enables O(1) space counting during traversal.",1,published,medium,understand,blank,dsa,blank,blank,blank,Requires hash map even for BST,In-order visits duplicates consecutively enabling O(1) space counting,Must sort first then count,Preorder traversal required,2
Two Sum in BST,"**BST contains unique values. Finding two nodes summing to target T. Approach 1: in-order traversal to array, two-pointer O(n) time O(n) space. Approach 2: for each node, search for T-node.val in BST, O(n×h) time O(h) space. Can we achieve O(n) time O(h) space?**","Two-pointer approach using in-order and reverse in-order iterators simultaneously. Left iterator advances forward (smallest to largest), right iterator backward (largest to smallest). If sum < T, advance left; if sum > T, advance right. No array needed, O(h) space for two stacks. Visits each node at most once, O(n) time.",1,published,hard,apply,blank,dsa,blank,blank,blank,Not possible without O(n) space,Two iterators (forward and reverse in-order) achieve O(n) time O(h) space,Requires converting to array first,Hash set needed for O(n),2
BST Construction From Preorder,"**Reconstructing BST from preorder [8,5,1,7,10,12]. First element 8 is root. Next element 5 < 8 goes left. But how to determine where left subtree ends and right subtree begins without in-order?**

```python
def build_bst_preorder(preorder, min_val, max_val, index):
    if index[0] >= len(preorder):
        return None
    
    val = preorder[index[0]]
    
    # When does value not belong to current subtree?
    if val < min_val or val > max_val:
        return None
    
    index[0] += 1
    root = TreeNode(val)
    
    root.left = build_bst_preorder(preorder, min_val, val, index)
    root.right = build_bst_preorder(preorder, val, max_val, index)
    
    return root
```

**How does this avoid needing in-order traversal?**","BST property: left subtree values in range (min, root.val), right subtree in range (root.val, max). Process preorder sequentially, using range constraints to determine subtree membership. When value outside range, backtrack. Each value processed once, O(n) time O(h) space. Unlike general binary tree needing two traversals, BST's ordering property enables single-traversal reconstruction.",1,published,hard,understand,blank,dsa,blank,blank,blank,Must have in-order for reconstruction,Range constraints from BST property enable single-traversal reconstruction,Requires level-order also,Only works for balanced BSTs,2
