
```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Hash Table Load Factor Impact,"**A web session manager stores 700K active sessions in hash table with 1M buckets (load factor α=0.7). System architect proposes reducing table size to 500K buckets (α=1.4) to save memory. What's the performance impact?**","Load factor α = n/m (elements/buckets). For chaining: average search O(1+α). At α=0.7, avg chain length ~0.7 (fast). At α=1.4, avg chain ~1.4 (slower but acceptable). However, higher load increases worst-case clustering. Beyond α=1, open addressing becomes impractical (no free slots). Chaining tolerates α>1, open addressing requires α<1. Trade-off: memory vs performance.",1,published,medium,analyze,blank,dsa,blank,blank,blank,No impact on performance with chaining,Higher load factor increases average chain length; chaining tolerates α>1 but performance degrades,Open addressing works better at α=1.4,Requires complete table rebuild,2
Hash Function Uniformity,"**User authentication system hashes passwords. Developer uses simple hash: sum of ASCII values modulo table size. For table size 100, passwords 'abc' (97+98+99=294%100=94) and 'bca' (same sum) collide. What property is violated?**","Good hash function should minimize collisions for similar inputs. Summation is order-independent: 'abc', 'bac', 'cab' all hash identically. This is catastrophic for anagrams. Violates avalanche effect: small input change should drastically change output. Better: polynomial rolling hash h=Σ(char[i] × p^i) mod m where p is prime. This makes order matter. Used in: Rabin-Karp, distributed hashing.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Hash function is perfectly uniform,Order-independent summation causes anagram collisions; violates distribution uniformity,Table size too small for load,Requires cryptographic hash,2
Separate Chaining Worst Case,"**Online shopping cart stores items in hash table with chaining (linked lists at each bucket). Table has 1000 buckets, 5000 items. In worst case, what causes O(n) search time?**","Worst case: all elements hash to same bucket, creating single chain of n elements. Search becomes O(n) linear scan. Happens with poor hash function or adversarial input. Example: if hash always returns 0, all 5000 items in bucket 0. Average case O(1+α) assumes uniform distribution. To prevent: use good hash function, cryptographic hashing for adversarial inputs, or universal hashing.",1,published,medium,understand,blank,dsa,blank,blank,blank,Load factor exceeds 1.0,All elements hash to same bucket creating O(n) chain,Table size is too large,Chaining always guarantees O(1),2
Linear Probing Clustering,"**Cache system uses open addressing with linear probing: hash(k) = k%10. Inserting sequence [11,21,31,41,12]. After inserting first four (all hash to bucket 1), they occupy buckets 1,2,3,4. Inserting 12 (hashes to 2) causes how many probes?**","12 hashes to bucket 2, but 1-4 are occupied due to primary clustering. Linear probe sequence: 2→3→4→5. Takes 4 probes to find empty bucket 5. Primary clustering: consecutive filled slots grow, increasing probe length. Formula: probes = 1/(1-α) where α=5/10=0.5, avg ~2 probes. But clustering creates hot spots with worse locality. Quadratic probing reduces clustering.",1,published,hard,apply,blank,dsa,blank,blank,blank,1 probe finds immediate slot,4 probes due to primary clustering from consecutive occupied buckets,2 probes sufficient,Insertion fails at high load,2
Quadratic Probing Guarantee,"**Email server uses quadratic probing: probe sequence h(k), h(k)+1², h(k)+2², h(k)+3²,... with table size m=16 (power of 2). For load factor α=0.6 (10 elements), does quadratic probing guarantee finding empty slot?**","Quadratic probing with table size power of 2 guarantees finding slot if α<0.5. Beyond α=0.5, may not probe all positions (only half the table). At α=0.6, may fail to find empty slot even if exists. Solution: use prime table size (guarantees probing all slots if α<1) or double hashing. Theorem: for prime m and α<1, probing sequence visits all buckets.",1,published,hard,understand,blank,dsa,blank,blank,blank,Always guarantees finding slot,May fail to find slot; power-of-2 table only guarantees α<0.5,Linear probing better guarantee,Requires table resize,2
Double Hashing Formula,"**Distributed cache implements double hashing: h₁(k)=k%13, h₂(k)=7-(k%7). For key k=20, what's the probe sequence and why must h₂ be relatively prime to table size?**

```python
def double_hash_probe(k, i, m):
    h1 = k % m
    h2 = 7 - (k % 7)
    return (h1 + i * h2) % m
```

**What happens if gcd(h₂, m) > 1?**","For k=20: h₁=20%13=7, h₂=7-(20%7)=7-6=1. Sequence: 7,8,9,10,... If h₂ shares factor with m (e.g., h₂=2, m=10), only even/odd buckets probed, missing half the table. gcd(h₂,m)=1 ensures probe sequence visits all m positions. Common: m=prime makes any h₂ coprime. This guarantees finding slot if α<1.",1,published,hard,analyze,blank,dsa,blank,blank,blank,h₂ value doesn't affect correctness,If gcd(h₂,m)>1 only subset of buckets probed; coprimality ensures full coverage,h₂ must always equal 1,Double hashing requires specific formulas,2
Hash Table Resize Strategy,"**Social media platform's hash table reaches 75% capacity (α=0.75 threshold). System doubles table size from 1M to 2M buckets and rehashes all entries. What's the time complexity of resize operation?**","Resize requires rehashing all n elements: create new table (2m buckets), compute new hash for each element (hash values change with table size), insert into new table. Time O(n) for n elements. Amortized analysis: if doubling at α=0.75, average insert remains O(1). Frequent small resizes waste time; infrequent large resizes cause latency spikes. Typical: double when α>0.75, halve when α<0.25.",1,published,medium,apply,blank,dsa,blank,blank,blank,O(log n) with efficient algorithm,O(n) rehashing all elements with new table size,O(m) based on table size only,O(1) with proper implementation,2
Consistent Hashing Ring,"**Distributed cache with 4 servers uses consistent hashing. Servers and keys map to ring [0, 2³²). Server S1 at position 100M, S2 at 500M, S3 at 1.5B, S4 at 3B. Key K hashes to 800M. Which server stores K?**","In consistent hashing ring, key stored on first server clockwise from key's hash position. K=800M: S1(100M) < K < S3(1.5B). Next server clockwise is S3. When server fails (e.g., S3), only keys between S2 and S3 need remapping to S4. Traditional hashing: removing 1 of n servers remaps ~(n-1)/n keys. Consistent hashing: removes ~1/n keys. Used in: distributed caches, load balancers.",1,published,hard,apply,blank,dsa,blank,blank,blank,S1 handles all keys 0-1B,S3 stores K as first server clockwise from 800M,Uniform distribution to S2,S4 as largest position,2
Hash Function For Strings,"**Implementing hash function for strings in hash table. Two approaches: (1) sum ASCII values, (2) polynomial rolling hash Σ(char[i]×31^i). For strings 'listen' and 'silent', which approach avoids collision?**","Approach 1 (sum): 'listen' and 'silent' have same ASCII sum (anagrams), collide. Approach 2 (polynomial): 'l'×31⁰ + 'i'×31¹ + 's'×31² +... ≠ 's'×31⁰ + 'i'×31¹ + 'l'×31² +... (different positions, different powers). Polynomial considers position. Prime base (31) reduces patterns. Java String.hashCode() uses polynomial. Trade-off: polynomial is O(n) for n-char string vs O(n) for sum, but better distribution.",1,published,medium,understand,blank,dsa,blank,blank,blank,Sum ASCII avoids collision,Polynomial rolling hash considers position avoiding anagram collisions,Both approaches have same collision rate,Cryptographic hash required,2
Open Addressing Deletion Problem,"**User database uses linear probing. Sequence: insert 21→bucket 1, insert 31→bucket 2 (collision, probed), delete 21. Later searching for 31 starts at bucket 1 (empty after deletion), stops search, reports not found. What's the solution?**","Lazy deletion: mark deleted slots as 'tombstone' rather than empty. Search continues past tombstones, insert can reuse tombstones. Without tombstones, deletion breaks probe chains causing false negatives. Example: search for 31: bucket 1→tombstone (continue)→bucket 2 (found). Trade-off: tombstones accumulate, degrading performance. Eventually requires table rebuild. Chaining avoids this issue.",1,published,hard,understand,blank,dsa,blank,blank,blank,Rehash table after deletion,Use tombstone markers allowing search continuation,Prevent deletion in open addressing,Linear probing doesn't have this issue,2
