# Queue - DSA Assessment 


```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Customer Service Helpline,"**A call center receives calls in this order: Alice, Bob, Charlie, David. Using a queue system, who gets served first?**","Queue follows FIFO (First In First Out) principle. Alice arrived first, so she is served first, then Bob, then Charlie, then David.",1,published,easy,understand,blank,dsa,blank,blank,blank,Alice,Bob,Charlie,David,1
Print Job Queue,"**A network printer has jobs queued: Doc1, Doc2, Doc3, Doc4. After printing Doc1 and Doc2, a new job Doc5 arrives. What is the current queue state?**","After dequeuing Doc1 and Doc2, the queue has Doc3, Doc4. Enqueuing Doc5 adds it to the rear. Final queue: Doc3, Doc4, Doc5.",1,published,easy,apply,blank,dsa,blank,blank,blank,"Doc3, Doc4","Doc3, Doc4, Doc5","Doc5, Doc3, Doc4","Doc1, Doc2, Doc3",2
Hospital Emergency Queue,"**An ER uses a priority queue where severity levels are: Critical(3), Urgent(2), Standard(1). Patients arrive: John(2), Mary(3), Steve(1), Lisa(3). Who is treated first?**","Priority queue dequeues based on highest priority first. Mary(3) and Lisa(3) have highest priority. Mary arrived first among priority 3, so Mary is treated first.",1,published,medium,apply,blank,dsa,blank,blank,blank,John,Mary,Steve,Lisa,2
Restaurant Order System,"**A food delivery app uses a queue for orders. If 50 orders are placed and 30 are delivered, how many orders are waiting in the queue?**","Queue operations: 50 enqueues (orders added), 30 dequeues (orders delivered). Remaining = 50 - 30 = 20 orders still in queue.",1,published,easy,apply,blank,dsa,blank,blank,blank,20,30,50,80,1
CPU Task Scheduler,"**An operating system uses Round Robin scheduling with a queue. Tasks T1, T2, T3 each need 10ms. Time quantum is 4ms. After first round, what is the queue order?**","Round Robin: T1 executes 4ms (6ms left), goes to back. T2 executes 4ms (6ms left), goes to back. T3 executes 4ms (6ms left), goes to back. Queue: T1(6ms), T2(6ms), T3(6ms).",1,published,medium,understand,blank,dsa,blank,blank,blank,"T1, T2, T3","T3, T2, T1","T2, T3, T1","All tasks completed",1
Ticket Booking System,"**A concert ticket system queues 1000 users. The system processes 50 users per minute. How long before user at position 500 gets processed?**","User at position 500 means 499 users ahead. Time = 499 / 50 = 9.98 minutes ≈ 10 minutes.",1,published,medium,apply,blank,dsa,blank,blank,blank,5 minutes,10 minutes,15 minutes,20 minutes,2
Circular Queue Buffer,"**A video streaming app uses a circular queue buffer of size 5 for frames. After enqueueing 5 frames and dequeuing 3, how many more frames can be enqueued before buffer is full?**","Circular queue size 5. Current state: 2 frames remain. Empty slots = 5 - 2 = 3. Can enqueue 3 more frames.",1,published,medium,apply,blank,dsa,blank,blank,blank,2,3,4,5,2
Message Queue System,"**A chat application enqueues messages: M1, M2, M3. Then dequeues one message and enqueues M4, M5. What is the front of the queue?**","Initial: M1(front), M2, M3. Dequeue M1. Now M2(front), M3. Enqueue M4, M5. Queue: M2(front), M3, M4, M5.",1,published,easy,apply,blank,dsa,blank,blank,blank,M1,M2,M3,M4,2
Breadth-First Search Application,"**A social network finds friends at exactly 2 connections away using BFS. Starting from User A, what data structure is essential for level-order traversal?**

```python
def find_friends_at_distance_2(user):
    queue = [user]
    visited = {user}
    level = 0
    
    while queue:
        level_size = len(queue)
        if level == 2:
            return queue  # Friends at distance 2
        for _ in range(level_size):
            current = queue.pop(0)
            for friend in current.friends:
                if friend not in visited:
                    queue.append(friend)
                    visited.add(friend)
        level += 1
```","BFS uses a queue to explore nodes level by level. Queue ensures friends at distance 1 are processed before distance 2, maintaining level-order traversal.",1,published,medium,understand,blank,dsa,blank,blank,blank,Stack,Queue,Array,Linked List,2
Airport Security Checkpoint,"**An airport security has 3 lanes. Passengers are distributed evenly. If 150 passengers arrive, how many are in each lane's queue assuming perfect distribution?**","With 3 lanes and 150 passengers distributed evenly, each lane gets 150 / 3 = 50 passengers.",1,published,easy,apply,blank,dsa,blank,blank,blank,30,50,75,100,2
Deque Implementation,"**A music player allows adding songs at both front and rear, and removing from both ends. What data structure is this?**","A deque (double-ended queue) allows insertion and deletion at both front and rear, unlike a regular queue which only allows rear insertion and front deletion.",1,published,easy,understand,blank,dsa,blank,blank,blank,Stack,Queue,Deque,Priority Queue,3
Bank Teller System,"**A bank has 4 tellers. Customers arrive at rate of 20/minute and each teller serves 6/minute. Is the system stable?**","Total service rate = 4 tellers × 6 customers/minute = 24 customers/minute. Arrival rate = 20/minute. Since 24 > 20, system is stable (can handle load).",1,published,medium,analyze,blank,dsa,blank,blank,blank,"No, queue grows infinitely","Yes, system can handle the load","Depends on customer patience","Need more information",2
Queue Using Stacks,"**A notification system implements a queue using two stacks. What is the time complexity of dequeue operation in the worst case?**

```python
class QueueUsingStacks:
    def __init__(self):
        self.stack1 = []  # for enqueue
        self.stack2 = []  # for dequeue
    
    def dequeue(self):
        if not self.stack2:
            while self.stack1:
                self.stack2.append(self.stack1.pop())
        return self.stack2.pop()
```","Worst case: stack2 is empty and all n elements are in stack1. Need to move all n elements from stack1 to stack2, taking O(n) time.",1,published,hard,analyze,blank,dsa,blank,blank,blank,O(1),O(log n),O(n),O(n²),3
Cache Replacement Policy,"**A web browser cache uses a queue-based FIFO replacement policy with capacity 4. Pages accessed: P1, P2, P3, P4, P5. Which page is evicted when P5 is accessed?**","FIFO queue with capacity 4. When P5 arrives and cache is full, P1 (first in) is evicted first, making room for P5.",1,published,medium,apply,blank,dsa,blank,blank,blank,P1,P2,P4,P5,1
Traffic Light Simulation,"**A smart traffic system uses queues for each lane. North lane has 15 cars, South has 10. If North gets 30 seconds (serving 10 cars) and South gets 20 seconds (serving 7 cars), how many cars remain in total?**","North: 15 - 10 = 5 cars remain. South: 10 - 7 = 3 cars remain. Total = 5 + 3 = 8 cars remaining.",1,published,medium,apply,blank,dsa,blank,blank,blank,8,12,15,18,1
