# Graph - DSA Assessment (CSV Format)

Below is your CSV data with 30 industry-oriented MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Social Network Connections,"**A social network has 5 users: Alice, Bob, Charlie, David, Emma. Friendships exist: Alice-Bob, Alice-Charlie, Bob-David, Charlie-Emma. How many edges does this graph have?**","Each friendship is an edge. Count the connections: Alice-Bob (1), Alice-Charlie (2), Bob-David (3), Charlie-Emma (4). Total = 4 edges.",1,published,easy,apply,blank,dsa,blank,blank,blank,3,4,5,6,2
Flight Route Network,"**An airline operates direct flights: NYC↔LA, NYC→Chicago, LA→Miami, Chicago↔Miami. Is this a directed or undirected graph?**","The graph is directed because some routes are bidirectional (↔) while others are unidirectional (→). Mixed directionality makes it a directed graph overall.",1,published,easy,understand,blank,dsa,blank,blank,blank,Undirected graph,Directed graph,Weighted graph,Complete graph,2
City Road Network,"**A GPS maps 6 cities with roads between them. Each city is connected to at least 2 other cities. What is the minimum number of roads required?**","For n=6 vertices where each has degree ≥ 2, minimum edges = n = 6. This forms a cycle where each vertex connects to exactly 2 others.",1,published,medium,apply,blank,dsa,blank,blank,blank,5,6,8,12,2
Delivery Route Optimization,"**A delivery company has 4 warehouses, and every warehouse can ship to every other warehouse. How many direct shipping routes exist in this complete graph?**","Complete graph with n=4 vertices has n(n-1)/2 edges. Calculation: 4(4-1)/2 = 4(3)/2 = 6 routes.",1,published,easy,apply,blank,dsa,blank,blank,blank,4,6,8,12,2
Website Crawler,"**A web crawler starts at homepage and visits all linked pages using BFS. Starting from page A with links to B, C, D, what is the order of first 4 pages visited?**

```python
def bfs_crawl(start_page):
    visited = set()
    queue = [start_page]
    visit_order = []
    
    while queue:
        page = queue.pop(0)
        if page not in visited:
            visited.add(page)
            visit_order.append(page)
            queue.extend(page.links)
    return visit_order
```","BFS visits level by level: A first, then its neighbors B, C, D. Order: A, B, C, D.",1,published,easy,apply,blank,dsa,blank,blank,blank,"A, B, C, D","A, D, C, B","A, B, D, C","D, C, B, A",1
File Dependency Checker,"**A build system checks file dependencies using DFS. Starting from main.py which imports utils.py and config.py, and utils.py imports helper.py, what is a valid DFS traversal order?**","DFS explores deeply before backtracking: main.py → utils.py → helper.py (backtrack) → config.py. This is one valid DFS order.",1,published,medium,apply,blank,dsa,blank,blank,blank,"main.py, config.py, utils.py, helper.py","main.py, utils.py, helper.py, config.py","main.py, utils.py, config.py, helper.py","helper.py, utils.py, config.py, main.py",2
LinkedIn Connection Degrees,"**On LinkedIn, you are connected to Person A, Person A is connected to Person B, and Person B is connected to Person C. What is your degree of separation from Person C?**","You → A (1 degree), A → B (2 degrees), B → C (3 degrees). Person C is 3 degrees away from you.",1,published,easy,understand,blank,dsa,blank,blank,blank,1 degree,2 degrees,3 degrees,4 degrees,3
Navigation Shortest Path,"**A maps app finds shortest path from home to office with distances: Home-GymStation(2km), GymStation-Office(3km), Home-Mall(4km), Mall-Office(1km). What is the shortest path and distance?**","Two paths: Home→GymStation→Office = 2+3 = 5km. Home→Mall→Office = 4+1 = 5km. Both paths are shortest with 5km. (If asking for one path: Home→Mall→Office)",1,published,medium,apply,blank,dsa,blank,blank,blank,"Home→GymStation→Office, 5km","Home→Mall→Office, 5km","Home→Office direct, 3km",Both path options with 5km,4
Cycle Detection in Transactions,"**A financial system detects circular dependencies in transactions: A pays B, B pays C, C pays D, D pays A. Is there a cycle?**","Following the payments: A→B→C→D→A forms a cycle. Money flows in a circle back to the starting account A.",1,published,easy,understand,blank,dsa,blank,blank,blank,No cycle exists,Yes cycle exists,Insufficient information,Graph is disconnected,2
Project Task Dependencies,"**A project has tasks with dependencies: Task1→Task2, Task2→Task3, Task1→Task3, Task3→Task4. Using topological sort, which task can be started first?**","Topological sort finds tasks with no incoming edges. Task1 has no dependencies (no incoming edges), so it must be started first.",1,published,medium,understand,blank,dsa,blank,blank,blank,Task1,Task2,Task3,Task4,1
