# Strings - DSA Assessment (CSV Format)

Below is your CSV data with 30 industry-oriented MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
URL Shortener Hash Collision,"**A URL shortening service uses base62 encoding (a-z, A-Z, 0-9) to generate 7-character short codes. The system needs to handle 1 billion URLs. What is the theoretical maximum unique URLs possible with 7 characters, and is collision likely?**","Base62 with 7 characters gives 62^7 = 3.5 trillion possible combinations. With 1 billion URLs, collision probability is low but non-zero. Birthday paradox suggests collision likely after sqrt(3.5T) ≈ 1.87M URLs. System needs collision detection and resolution strategy.",1,published,hard,analyze,blank,dsa,blank,blank,blank,"62^7 combinations, collision highly unlikely with 1B URLs","62^7 = 3.5T combinations, collision possible due to birthday paradox after ~1.87M URLs","Limited to 1B combinations, collision guaranteed","62×7 = 434 combinations, insufficient capacity",2
DNA Sequence Pattern Matching,"**A genomics lab searches for DNA pattern 'AGATC' in genome sequence of 3 billion characters. Naive string matching takes O(nm) time where n=text length, m=pattern length. Which algorithm reduces this to O(n+m) and why?**","KMP (Knuth-Morris-Pratt) or Boyer-Moore achieve O(n+m). KMP preprocesses pattern to build failure function, avoiding re-examination of text characters. For 3B characters with pattern length 5, this saves billions of comparisons. Critical for bioinformatics where genome sequences are massive.",1,published,hard,understand,blank,dsa,blank,blank,blank,"Binary search O(log n), requires sorted data","KMP or Boyer-Moore O(n+m), preprocesses pattern to avoid backtracking","Hash-based matching O(1), stores all patterns","Divide and conquer O(n log n), splits text recursively",2
Autocomplete Trie Performance,"**A search engine's autocomplete stores 10 million queries. Using a trie data structure, searching for prefix 'face' (4 chars) to suggest completions takes how many operations in worst case, and what's the space trade-off?**","Trie search is O(k) where k=prefix length, not dependent on number of stored words. Searching 'face' takes exactly 4 operations regardless of 10M entries. Space trade-off: O(ALPHABET_SIZE × N × M) where N=number of words, M=average length. More space than hash table but enables prefix operations.",1,published,medium,analyze,blank,dsa,blank,blank,blank,"O(log n) time, O(n) space like binary search tree","O(k) time where k=prefix length, O(ALPHABET×N×M) space for prefix support","O(n) time scanning all words, O(n) space","O(1) time with hash table, O(n) space but no prefix support",2
Password Strength Validation,"**A security system validates passwords requiring: min 8 chars, 1 uppercase, 1 lowercase, 1 digit, 1 special char. For password 'Secure@123', which validation approach is most efficient for checking all criteria in a single pass?**","Single-pass validation: iterate once maintaining boolean flags for each criterion. Check length, then for each character update flags (isUpper, isLower, isDigit, isSpecial). Time O(n), Space O(1). Alternative regex approach O(n) but with regex compilation overhead. Multi-pass O(5n) is less efficient.",1,published,easy,apply,blank,dsa,blank,blank,blank,"Regex pattern matching, multiple passes","Single pass with boolean flags, O(n) time O(1) space","Sort string first then validate, O(n log n)","Check each criterion separately, O(5n) time",2
Text Editor Undo-Redo Implementation,"**A text editor maintains edit history for undo/redo. For a document with 1M characters and 10K edit operations, which data structure maintains optimal space complexity while supporting O(1) undo/redo?**

```python
class TextEditor:
    def __init__(self):
        self.undo_stack = []
        self.redo_stack = []
        self.current_text = """"
    
    def insert(self, text, position):
        self.undo_stack.append(('delete', position, len(text)))
        self.current_text = self.current_text[:position] + text + self.current_text[position:]
        self.redo_stack.clear()
```

**What is the key insight for space-efficient undo/redo?**","Store inverse operations rather than full document state. For insert, store delete operation. For delete, store insert with deleted text. Space: O(k×m) where k=operations, m=avg change size, not O(k×n) where n=document size. Two stacks enable O(1) undo/redo operations.",1,published,hard,understand,blank,dsa,blank,blank,blank,"Store full document copy per edit, O(k×n) space but simple","Store inverse operations, O(k×m) space where m=change size","Use persistent data structure, O(log n) per operation","Compress all states, O(n) space but slow undo",2
Email Address Validation Complexity,"**A user registration system validates 100K email addresses. Which validation strategy balances accuracy and performance: regex pattern, manual parsing, or domain DNS lookup?**","Regex pattern ~99% accuracy, O(n) per email, no network calls. Manual state machine parsing 99.9% accuracy, similar performance. DNS lookup 100% accuracy but O(network latency) per email - impractical for 100K at once. Best: Regex for initial filter + async DNS for critical validations.",1,published,medium,analyze,blank,dsa,blank,blank,blank,"DNS lookup for 100% accuracy, slow but thorough","Regex for initial validation O(n), then async DNS for important cases","Manual character-by-character parsing, most accurate","Hash table of known domains, O(1) but incomplete",2
Longest Palindromic Substring,"**A content moderation system detects palindromic phrases in user posts. Given text 'racecar is fast', finding longest palindrome 'racecar' using expand-around-center vs Manacher's algorithm - what's the time complexity difference?**","Expand-around-center: Try each position as center, expand while characters match. Time O(n²), Space O(1). Manacher's algorithm: Preprocess to handle even/odd length palindromes uniformly, use previously computed palindrome info. Time O(n), Space O(n). For real-time moderation, O(n²) often sufficient; Manacher's for massive text.",1,published,hard,understand,blank,dsa,blank,blank,blank,"Both are O(n²), no difference","Expand-around-center O(n²), Manacher's O(n) using dynamic programming","Both O(n) with sufficient optimization","Expand O(n log n), Manacher's O(n²)",2
SQL Injection Detection,"**A web application firewall scans SQL queries for injection patterns. Input: 'SELECT * FROM users WHERE id = 1 OR 1=1 --'. Which string analysis technique most reliably detects the injection attempt?**","Pattern matching for dangerous keywords (OR, --, UNION) combined with quote-mismatch detection. '1=1' after OR is tautology pattern. '--' comments out rest. Parameterized queries prevent injection at source. String analysis detects: unbalanced quotes, SQL keywords in unexpected positions, comment sequences.",1,published,medium,apply,blank,dsa,blank,blank,blank,"Check string length, injections are always longer","Pattern match SQL keywords (OR, --, UNION) and detect quote mismatches","Convert to lowercase and hash, compare with blacklist","Count special characters, threshold-based detection",2
Anagram Grouping Optimization,"**A word game groups 50K words by anagrams. Words: ['eat', 'tea', 'tan', 'ate', 'nat', 'bat']. Which approach achieves optimal O(n×k) time where n=number of words, k=max word length?**

```python
def group_anagrams(words):
    from collections import defaultdict
    
    anagram_map = defaultdict(list)
    
    for word in words:
        # Key insight: sorted string as key
        key = ''.join(sorted(word))
        anagram_map[key].append(word)
    
    return list(anagram_map.values())
```

**Why does sorting each word for hash key work efficiently?**","Sorting each word: O(k log k) per word, total O(n×k log k). Alternative: count frequency of each character as key O(k) per word, total O(n×k) - optimal. Both use hash map O(n) space. Sorted string is simpler to implement; frequency count slightly faster for long words.",1,published,medium,understand,blank,dsa,blank,blank,blank,"Sort entire word list O(n log n), then group sequential","Sort each word as hash key O(n×k log k), or use char frequency O(n×k)","Compare each word with every other O(n²)","Use trie structure O(n×k) but complex",2
Log File Time Range Query,"**A monitoring system queries logs by timestamp. 10M log entries sorted chronologically. Finding all logs between '2024-01-15 10:30:00' and '2024-01-15 11:30:00' - which approach is optimal?**","Binary search for start time O(log n), then linear scan until end time O(m) where m=results. Total O(log n + m). Alternative: two binary searches O(log n) for start and end, then return slice O(m) for copying. Both efficient. Naive linear scan O(n) is wasteful for sorted data.",1,published,medium,apply,blank,dsa,blank,blank,blank,"Linear scan O(n), simple but slow","Binary search for start O(log n), linear scan for range O(m)","Hash table by timestamp O(1), but O(n) space overhead","Separate index per hour O(1), complex maintenance",2
