# Arrays - DSA Assessment (CSV Format)

Below is your CSV data with 30 industry-oriented MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Stock Price Maximum Profit,"**A stock trading platform analyzes daily prices to find maximum profit from single buy-sell transaction. Given price array [7, 1, 5, 3, 6, 4], the system needs to identify optimal buy and sell days.**

```python
def max_profit(prices):
    min_price = float('inf')
    max_profit = 0
    
    for price in prices:
        min_price = min(min_price, price)
        profit = price - min_price
        max_profit = max(max_profit, profit)
    
    return max_profit
```

**What is the maximum profit and which strategy does this algorithm use?**","The algorithm tracks minimum price seen so far (buy point) and calculates profit for selling at current price. Day 2: buy at $1, Day 5: sell at $6, profit = $5. Single pass O(n) solution using greedy approach - always buy at lowest seen price.",1,published,medium,apply,blank,dsa,blank,blank,blank,"$3, using divide and conquer","$5, using single-pass greedy tracking","$6, using dynamic programming","$4, using two-pointer technique",2
Rotating Shift Scheduler,"**A 24/7 call center rotates employee shifts stored in array [1,2,3,4,5,6,7] where each number represents an employee ID. The system needs to rotate the schedule by 3 positions to the right for next week. After rotation, what is the new schedule?**

```python
def rotate_array(arr, k):
    n = len(arr)
    k = k % n  # Handle k > n
    
    # Reverse entire array
    arr.reverse()
    # Reverse first k elements
    arr[:k] = reversed(arr[:k])
    # Reverse remaining elements
    arr[k:] = reversed(arr[k:])
    
    return arr
```

**What is the final schedule after rotating right by 3 positions?**","Rotation by 3 positions right: [1,2,3,4,5,6,7] → [5,6,7,1,2,3,4]. The reversal algorithm works in O(n) time and O(1) space: reverse all → reverse first k → reverse rest. Employee 5,6,7 move to front.",1,published,medium,apply,blank,dsa,blank,blank,blank,"[3,4,5,6,7,1,2]","[5,6,7,1,2,3,4]","[7,6,5,4,3,2,1]","[4,5,6,7,1,2,3]",2
Product Inventory Analytics,"**An e-commerce platform calculates product of all elements except self for price comparison analytics. Prices array: [2,3,4,5]. For each position i, calculate product of all other elements without using division.**

```python
def product_except_self(nums):
    n = len(nums)
    result = [1] * n
    
    # Left pass: result[i] = product of all elements to left
    left_product = 1
    for i in range(n):
        result[i] = left_product
        left_product *= nums[i]
    
    # Right pass: multiply with product of all elements to right
    right_product = 1
    for i in range(n-1, -1, -1):
        result[i] *= right_product
        right_product *= nums[i]
    
    return result
```

**What is the resulting array and time complexity?**","Two-pass approach: Left pass gives [1, 2, 6, 24], right pass multiplies giving [60, 40, 30, 24]. At index 0: (nothing left) × (3×4×5) = 60. At index 1: (2) × (4×5) = 40. Time: O(n), Space: O(1) excluding output.",1,published,hard,apply,blank,dsa,blank,blank,blank,"[60,40,30,24] in O(n) time","[24,30,40,60] in O(n²) time","[60,40,30,24] in O(n²) time","[120,80,60,48] in O(n) time",1
Container Water Optimization,"**A water harvesting system has walls at heights [1,8,6,2,5,4,8,3,7]. The system needs to find two walls that can hold maximum water between them. Distance between walls determines width.**

```python
def max_water_area(heights):
    left = 0
    right = len(heights) - 1
    max_area = 0
    
    while left < right:
        width = right - left
        height = min(heights[left], heights[right])
        max_area = max(max_area, width * height)
        
        # Move pointer with smaller height
        if heights[left] < heights[right]:
            left += 1
        else:
            right -= 1
    
    return max_area
```

**What is maximum water area and why does the two-pointer approach work?**","Maximum area = 49 (using walls at index 1 and 8: min(8,7) × (8-1) = 7 × 7 = 49). Two-pointer works because moving the smaller height pointer is the only way to potentially find larger area. Moving larger height pointer can never increase area.",1,published,hard,analyze,blank,dsa,blank,blank,blank,"36 square units, greedy approach","49 square units, optimal two-pointer technique","42 square units, divide and conquer","56 square units, dynamic programming",2
Duplicate Detection System,"**A security system logs user IDs in array [1,3,4,2,2] where IDs range from 1 to n. Exactly one ID appears twice. The system needs to detect the duplicate using O(1) extra space.**

```python
def find_duplicate(nums):
    # Floyd's Cycle Detection
    slow = fast = nums[0]
    
    # Phase 1: Find intersection point in cycle
    while True:
        slow = nums[slow]
        fast = nums[nums[fast]]
        if slow == fast:
            break
    
    # Phase 2: Find entrance to cycle (duplicate)
    slow = nums[0]
    while slow != fast:
        slow = nums[slow]
        fast = nums[fast]
    
    return slow
```

**Which duplicate detection technique is used and why does it work?**","Floyd's Cycle Detection treats array as linked list (value at index i points to index nums[i]). Duplicate creates a cycle. The algorithm finds cycle entrance which is the duplicate value. Works in O(n) time, O(1) space unlike hash table approach.",1,published,hard,understand,blank,dsa,blank,blank,blank,"Hash table lookup, O(n) space","Floyd's Cycle Detection treating array as linked list, O(1) space","Sorting then linear scan, O(1) space","XOR bit manipulation, O(1) space",2
Subarray Sum Target,"**A financial fraud detection system analyzes transaction sequences. Given transactions [1,2,3,7,5] and target sum 12, find if any contiguous subarray sums to target (indicating potential fraud pattern).**

```python
def subarray_sum(arr, target):
    current_sum = 0
    sum_map = {0: -1}  # sum -> earliest index
    
    for i, num in enumerate(arr):
        current_sum += num
        
        if current_sum - target in sum_map:
            start = sum_map[current_sum - target] + 1
            return True, (start, i)
        
        sum_map[current_sum] = i
    
    return False, None
```

**Does a subarray sum to 12 exist, and what technique is used?**","Yes, subarray [2,3,7] from index 1 to 3 sums to 12. Uses prefix sum with hash map: stores cumulative sum at each position. If (current_sum - target) exists in map, we found a subarray. Time O(n), Space O(n) for hash map.",1,published,medium,apply,blank,dsa,blank,blank,blank,"Yes using [3,7,5], brute force O(n²)","No subarray exists","Yes using [2,3,7], prefix sum with hash map O(n)","Yes using [1,2,3,7], sliding window O(n)",3
Missing Number Recovery,"**A packet transmission system sends packets numbered 0 to n. One packet is lost in transmission. Given received packets [3,0,1,4,2,6,8,7], identify missing packet efficiently.**

```python
def find_missing(nums):
    n = len(nums)
    
    # Method 1: XOR approach
    xor_result = n  # Start with n
    for i, num in enumerate(nums):
        xor_result ^= i ^ num
    return xor_result
    
    # Method 2: Sum formula
    expected_sum = n * (n + 1) // 2
    actual_sum = sum(nums)
    return expected_sum - actual_sum
```

**What is missing packet and which method is more efficient?**","Missing packet is 5. Both methods are O(n) time and O(1) space. XOR method: XOR all indices and values, remaining value is missing. Sum method: expected_sum(0 to 8) - actual_sum = 36 - 31 = 5. XOR is safer against integer overflow.",1,published,medium,understand,blank,dsa,blank,blank,blank,"Packet 5, XOR method more robust against overflow","Packet 4, sum method is better","Packet 5, both methods equally efficient","Packet 6, neither method works",1
Kadane's Maximum Subarray,"**A temperature monitoring system tracks daily temperature changes: [-2,1,-3,4,-1,2,1,-5,4]. System needs to find period with maximum cumulative change (hottest consecutive days).**

```python
def max_subarray_sum(nums):
    max_sum = float('-inf')
    current_sum = 0
    start = end = temp_start = 0
    
    for i, num in enumerate(nums):
        if current_sum <= 0:
            current_sum = num
            temp_start = i
        else:
            current_sum += num
        
        if current_sum > max_sum:
            max_sum = current_sum
            start = temp_start
            end = i
    
    return max_sum, (start, end)
```

**What is maximum cumulative change and which positions?**","Kadane's algorithm: Maximum sum = 6 from subarray [4,-1,2,1] at indices 3-6. Key insight: If current sum becomes negative, starting fresh from next element will always be better. Runs in O(n) time, O(1) space - optimal for this problem.",1,published,medium,apply,blank,dsa,blank,blank,blank,"5 from indices 1-6","6 from indices 3-6 using Kadane's algorithm","7 from indices 0-8","4 from indices 3-3",2
Dutch National Flag Sorting,"**A traffic light control system categorizes vehicles by priority: 0(emergency), 1(public), 2(private) in array [2,0,2,1,1,0]. System must sort in-place maintaining O(n) time without extra space.**

```python
def sort_colors(nums):
    low = 0      # Boundary for 0s
    mid = 0      # Current element
    high = len(nums) - 1  # Boundary for 2s
    
    while mid <= high:
        if nums[mid] == 0:
            nums[low], nums[mid] = nums[mid], nums[low]
            low += 1
            mid += 1
        elif nums[mid] == 1:
            mid += 1
        else:  # nums[mid] == 2
            nums[mid], nums[high] = nums[high], nums[mid]
            high -= 1
    
    return nums
```

**What is sorted array and what is this algorithm called?**","Dutch National Flag algorithm sorts to [0,0,1,1,2,2]. Three-pointer technique: low marks end of 0s region, high marks start of 2s region, mid scans array. When 0 found, swap with low; when 2 found, swap with high; when 1, just move mid. Single pass O(n), O(1) space.",1,published,hard,apply,blank,dsa,blank,blank,blank,"[0,0,1,1,2,2] using Dutch National Flag O(n)","[0,1,2,0,1,2] using quicksort O(n log n)","[2,2,1,1,0,0] using counting sort O(n)","[0,0,1,1,2,2] using merge sort O(n log n)",1
Merge Sorted Arrays,"**Two database query results need merging: nums1 = [1,2,3,0,0,0] (size m=3, capacity 6) and nums2 = [2,5,6] (size n=3). Merge nums2 into nums1 in-place maintaining sorted order.**

```python
def merge(nums1, m, nums2, n):
    # Start from end to avoid overwriting
    i = m - 1      # Last element of nums1
    j = n - 1      # Last element of nums2
    k = m + n - 1  # Last position in merged array
    
    while i >= 0 and j >= 0:
        if nums1[i] > nums2[j]:
            nums1[k] = nums1[i]
            i -= 1
        else:
            nums1[k] = nums2[j]
            j -= 1
        k -= 1
    
    # Copy remaining elements from nums2 if any
    while j >= 0:
        nums1[k] = nums2[j]
        j -= 1
        k -= 1
```

**What is merged result and why fill from the end?**","Result: [1,2,2,3,5,6]. Filling from end avoids overwriting unprocessed elements in nums1. If filled from start, we'd need O(n) extra space or complex shifting. Three-pointer technique: compare from end and place largest at current position. Time O(m+n), Space O(1).",1,published,medium,apply,blank,dsa,blank,blank,blank,"[1,2,2,3,5,6] filled from front","[1,2,2,3,5,6] filled from end to avoid overwriting","[1,2,3,2,5,6] using extra space","[6,5,3,2,2,1] reverse sorted",2
