
```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
XOR Self-Cancellation Property,"**A data transmission system detects corrupted packets. Array contains packet IDs where every ID appears twice except one corrupted packet appearing once: [4,1,2,1,2]. Using XOR properties, how to find the corrupted packet ID in O(n) time O(1) space?**","XOR has self-cancellation property: a ⊕ a = 0. Also a ⊕ 0 = a. XOR all elements: 4⊕1⊕2⊕1⊕2 = 4⊕(1⊕1)⊕(2⊕2) = 4⊕0⊕0 = 4. Pairs cancel out, leaving single element. This is fundamental XOR application avoiding hash maps. Used in: finding missing number, single element detection, memory error correction codes.",1,published,medium,apply,blank,dsa,blank,blank,blank,Use hash map O(n) space for counting,XOR all elements; pairs cancel leaving single element O(1) space,Sort then find gap O(n log n),Requires two passes through array,2
Check Power of Two,"**A memory allocator validates if requested size is power of 2 (required for alignment). For size=16 (binary 10000), what single bit operation determines if number is power of 2?**

```python
def is_power_of_two(n):
    if n <= 0:
        return False
    return _______________
```

**What condition checks power of 2?**","Power of 2 in binary has exactly one bit set: 8=1000, 16=10000. Key insight: n-1 flips all bits after the single set bit. Example: 16=10000, 15=01111. n & (n-1) clears rightmost set bit. For power of 2, this gives 0. Condition: (n & (n-1)) == 0. This single operation avoids logarithms or loops. Used in: hash table sizing, memory allocation.",1,published,medium,apply,blank,dsa,blank,blank,blank,n % 2 == 0 checks even numbers,(n & (n-1)) == 0 detects single bit set,n & 1 == 0 checks last bit,log2(n) is integer,2
Count Set Bits Brian Kernighan,"**Performance profiler counts CPU instruction flags (represented as bits). For 32-bit number, naive loop checks each bit O(32)=O(1). What optimization reduces to O(k) where k=number of set bits?**

```python
def count_set_bits(n):
    count = 0
    while n:
        n = n & (n - 1)  # What does this operation do?
        count += 1
    return count
```

**Why is this faster for sparse bit patterns?**","n & (n-1) clears rightmost set bit. For n=12 (1100): 12&11=1100&1011=1000 (cleared one bit). Loop runs once per set bit, not per bit position. For n with k set bits, O(k) iterations. Huge improvement when k << 32 (sparse). Example: n=0x80000001 (2 bits set) takes 2 iterations not 32. Used in: population count, Hamming weight.",1,published,hard,understand,blank,dsa,blank,blank,blank,Shifts n right removing bits,Clears rightmost set bit each iteration reducing to O(k),Counts bits in parallel,Only works for even numbers,2
Single Number II Appearing Three Times,"**Error detection system has array where every element appears 3 times except one appearing once: [2,2,3,2]. Using bit manipulation (no hash map), how to find the single element?**","Track bits at each position across all numbers. If bit appears 3k times, it's from triplets (ignore). Remaining bits form answer. Implementation: use two variables (ones, twos) tracking bits appearing once/twice. When bit appears third time, reset both. After processing all, 'ones' holds answer. Time O(n), Space O(1). Extends XOR concept to mod-3 arithmetic.",1,published,hard,apply,blank,dsa,blank,blank,blank,XOR works for any frequency,Two variables tracking bit frequency modulo 3,Requires sorting first O(n log n),Hash map necessary for correctness,2
Swap Without Temporary Variable,"**Embedded system with limited registers must swap two variables without temporary. Given a=5, b=9, what bit operation achieves swap?**

```python
a = a ^ b  # Step 1
b = a ^ b  # Step 2: b = (a^b) ^ b = a
a = a ^ b  # Step 3: a = (a^b) ^ a = b
```

**Why does this work and when does it fail?**","XOR properties: a⊕b⊕b = a⊕0 = a. After step 1: a holds a⊕b. Step 2: b = (a⊕b)⊕b = a. Step 3: a = (a⊕b)⊕a = b. Swapped without temp. Fails when a and b reference same memory location (swapping variable with itself gives 0). Also fails with floating point (XOR undefined). Arithmetic alternative: a=a+b, b=a-b, a=a-b (risks overflow).",1,published,medium,understand,blank,dsa,blank,blank,blank,Only works for specific number ranges,XOR swap works but fails when variables reference same memory,Arithmetic always safer than XOR,Requires temp variable for correctness,2
Check Kth Bit Set,"**Network packet header inspection checks if specific flag bit is set. For byte 0b10110100 (180), checking if bit at position k=2 (0-indexed from right) is set. What operation determines this?**","To check bit k: create mask with only bit k set using (1 << k). Then n & (1<<k). If result non-zero, bit is set. For k=2: mask=0b00000100 (4). 180 & 4 = 0b10110100 & 0b00000100 = 0b00000100 = 4 (non-zero, bit set). Comparing with (1<<k) directly: (n & (1<<k)) == (1<<k) or more simply: (n & (1<<k)) != 0. Used in: flag checking, permission bits.",1,published,easy,apply,blank,dsa,blank,blank,blank,(n >> k) % 2 == 1 after shifting,(n & (1 << k)) != 0 masks and checks,n % (2^k) checks remainder,(n | k) sets then checks,2
Set Kth Bit,"**Graphics pixel buffer sets alpha channel bit. To set bit at position k in number n, what operation guarantees bit becomes 1 regardless of current value?**","To set bit k: OR with mask having only bit k set. Operation: n | (1 << k). OR ensures bit becomes 1: if already 1, stays 1; if 0, becomes 1. Example: n=12 (1100), k=1. Mask=0010. Result: 1100|0010=1110 (14). OR is idempotent for setting bits. Alternative: n |= (1<<k) for in-place modification.",1,published,easy,apply,blank,dsa,blank,blank,blank,n & (1 << k) checks bit,n | (1 << k) sets bit to 1,n ^ (1 << k) toggles bit,n << k shifts left,2
Clear Kth Bit,"**Clearing permission bit in access control mask. To clear bit k (make it 0) in number n, what operation works regardless of current bit value?**","To clear bit k: AND with mask having all bits 1 except position k. Mask: ~(1 << k). Operation: n & ~(1<<k). AND with 0 clears bit; AND with 1 preserves. Example: n=15 (1111), k=2. Mask=~(0100)=1011. Result: 1111&1011=1011 (11). In-place: n &= ~(1<<k).",1,published,easy,apply,blank,dsa,blank,blank,blank,n ^ (1 << k) toggles bit,n & ~(1 << k) clears bit to 0,n | (1 << k) sets bit,n - (1 << k) subtracts,2
Toggle Kth Bit,"**LED control toggles state (on↔off). To flip bit k regardless of current state, what single operation achieves toggle?**","To toggle bit k: XOR with mask having only bit k set. Operation: n ^ (1<<k). XOR flips bit: 0⊕1=1, 1⊕1=0. Example: n=5 (0101), k=1. Mask=0010. Result: 0101^0010=0111 (7). Second toggle: 0111^0010=0101 (back to 5). XOR is self-inverse for toggling. Used in: state machines, error correction.",1,published,easy,apply,blank,dsa,blank,blank,blank,n & (1 << k) checks bit,n | (1 << k) sets bit,n ^ (1 << k) toggles bit,n - (1 << k) decrements,3
Rightmost Set Bit Isolation,"**Debugging tool identifies first error flag in status register. For status=0b10110100, isolating rightmost set bit gives 0b00000100. What operation extracts only the rightmost set bit?**","Operation: n & (-n) or n & (~n + 1). Two's complement -n flips bits and adds 1. Example: n=12 (1100). -n in two's complement: ~12+1 = 0011+1 = 0100. n&(-n): 1100&0100=0100 (isolated bit 2). This identifies position of rightmost 1. Used in: Fenwick tree, finding differences, extracting LSB in loops.",1,published,medium,understand,blank,dsa,blank,blank,blank,n & (n - 1) clears rightmost bit,n & (-n) isolates rightmost set bit,n | (n - 1) sets all right bits,n ^ (n - 1) creates mask,2
Clear All Bits After Position K,"**Image processing clears lower precision bits. To clear all bits from position k to 0 (keep bits k+1 and higher), what mask achieves this?**","To keep bits from position k+1 upward: create mask of 1s in high positions, 0s in low. Mask: ~0 << (k+1) or equivalently: (-1) << (k+1). Example: clear bits 0-2 (k=2). Mask: (-1)<<3 = 11111000. For n=255 (11111111): 255&11111000=11111000 (248). This preserves high bits, zeros low bits. Used in: alignment, rounding, truncation.",1,published,medium,apply,blank,dsa,blank,blank,blank,(1 << k) - 1 creates low bit mask,(-1) << (k+1) creates high bit mask,n >> k shifts right,n & (1 << k) isolates bit k,2
Reverse Bits Of Integer,"**Network protocol converts between big-endian and little-endian. Reversing 32-bit integer bit order: input 0b00000010100101000001111010011100 → output 0b00111001011110000010100101000000. What's the algorithmic approach?**","Reverse bits using shift and merge. Process pairs, nibbles, bytes, etc. Example: swap adjacent bits: n = ((n & 0xAAAAAAAA) >> 1) | ((n & 0x55555555) << 1). Then swap pairs, swap nibbles, swap bytes, swap halfwords. Total: 5 operations for 32 bits. Alternative: loop shifting bits one by one (32 iterations). Divide-and-conquer approach is O(log n) operations vs O(n) loop.",1,published,hard,apply,blank,dsa,blank,blank,blank,Simple loop shifting bits one by one,Divide-and-conquer swapping groups: bits→pairs→nibbles→bytes,Requires lookup table for efficiency,XOR operations reverse bits,2
Hamming Distance Calculation,"**Error correction code calculates Hamming distance between transmitted and received data. Distance = number of differing bits. For x=1 (0001) and y=4 (0100), distance=2. What's the bit manipulation approach?**","Hamming distance = count of set bits in x⊕y. XOR gives 1 where bits differ. Example: 1⊕4 = 0001⊕0100 = 0101 (binary), has 2 set bits. Use Brian Kernighan's algorithm to count: while(xor) { xor &= xor-1; count++; }. Time O(k) where k=differing bits. Used in: error correction, similarity detection, DNA sequence comparison.",1,published,medium,apply,blank,dsa,blank,blank,blank,Subtract and count carries,Count set bits in XOR of numbers,Compare bit by bit with loop,Requires conversion to string,2
Gray Code Generation,"**Rotary encoder uses Gray code where adjacent values differ by exactly one bit. For n=3 bits, sequence: 000→001→011→010→110→111→101→100. What's the formula to generate ith Gray code?**","Formula: gray(i) = i ^ (i >> 1). Example: i=5 (101). i>>1 = 010. gray(5) = 101^010 = 111. Gray code has property: adjacent codes differ by 1 bit, no glitches in transitions. Inverse: gray_to_binary iteratively: binary ^= gray; gray >>= 1; Used in: shaft encoders, error minimization, Karnaugh maps.",1,published,hard,understand,blank,dsa,blank,blank,blank,gray(i) = i & (i - 1),gray(i) = i ^ (i >> 1),gray(i) = i | (i << 1),gray(i) = ~i,2
Find Two Non-Repeating Elements,"**Network monitoring system logs packet IDs where all IDs appear twice except two unique IDs appearing once: [1,2,1,3,2,5]. Using O(1) space, how to find both unique IDs?**

```python
def find_two_unique(arr):
    xor = 0
    for num in arr:
        xor ^= num  # xor now contains x ^ y
    
    # Find rightmost set bit in xor
    rightmost_bit = xor & (-xor)
    
    x, y = 0, 0
    for num in arr:
        if num & rightmost_bit:
            x ^= num
        else:
            y ^= num
    return x, y
```

**Why does partitioning by rightmost bit work?**","XOR of all elements gives x⊕y (pairs cancel). Rightmost set bit in x⊕y indicates position where x and y differ. Partition array by this bit: one group has bit set (contains x), other doesn't (contains y). XOR within each group: pairs cancel, leaving x in one group, y in other. Time O(n), Space O(1). Extends single-element XOR technique.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Requires sorting to find both,Partition by differing bit position in XOR result,Hash map necessary for two elements,Cannot solve with O(1) space,2
Integer Division Without Operator,"**Embedded system without hardware divider implements division using bit operations. Dividing 43 by 8 using shifts and subtractions. What's the algorithmic approach?**","Long division in binary using left shifts. Start with quotient=0. For each bit position from MSB: shift dividend left, if dividend ≥ divisor, subtract divisor and set bit in quotient. Example: 43÷8. Check 43≥8×2^2 (32): yes, quotient|=4, subtract 32, remainder 11. Check 11≥8: yes, quotient|=1. Final: quotient=5, remainder=3. Time O(log n) where n=dividend bits.",1,published,hard,apply,blank,dsa,blank,blank,blank,Repeated subtraction O(n) where n=quotient,Binary search with shifts O(log n) similar to long division,XOR operations compute division,Requires multiplication operator,2
Check If Opposite Signs,"**Cryptography module compares if two integers have opposite signs (one positive, one negative) without branching. For a=-5 and b=3, what single bit operation detects opposite signs?**","Check XOR of sign bits. In two's complement, MSB is sign bit (1=negative, 0=positive). Operation: (a ^ b) < 0. XOR gives 1 in MSB only if signs differ. Alternatively: ((a ^ b) >> 31) checks MSB directly. For a=-5 (MSB=1), b=3 (MSB=0): XOR MSB=1, meaning opposite signs. Branch-free sign comparison. Used in: overflow detection, conditional operations.",1,published,medium,understand,blank,dsa,blank,blank,blank,Compare a < 0 and b < 0 separately,(a ^ b) < 0 checks if MSB differs (opposite signs),a + b determines sign,Requires absolute value comparison,2
