# Greedy Algorithms - DSA Assessment (CSV Format)

Below is your CSV data with 30 industry-oriented MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Meeting Room Scheduler,"**A conference center needs to schedule maximum meetings in one room. Available slots: M1(9-10), M2(9:30-11), M3(10-11:30), M4(11-12), M5(11:30-1). Which meetings should be selected?**","Greedy approach: Select meeting with earliest finish time first. Order by finish: M1(10), M2(11), M3(11:30), M4(12), M5(1). Pick M1, then M4 (starts after M1), then M5 (starts after M4). Maximum = 3 meetings.",1,published,medium,apply,blank,dsa,blank,blank,blank,"M1, M2, M3","M1, M4, M5","M2, M4, M5","M1, M3, M5",2
Currency Exchange Optimization,"**You have $100 and need to make change using minimum coins. Available: $50, $20, $10, $5, $1. How many coins are needed?**","Greedy approach with largest denomination first: 1×$50 + 2×$20 + 1×$10 = $100. Total = 4 coins. This works because US currency denominations are canonical (greedy gives optimal solution).",1,published,easy,apply,blank,dsa,blank,blank,blank,3,4,5,6,2
Task Scheduling with Deadlines,"**A freelancer has jobs: J1(profit=$50, deadline=2), J2($20, deadline=1), J3($30, deadline=2), J4($30, deadline=1). Each takes 1 day. Maximum profit by deadline?**

```python
def max_profit_jobs(jobs):
    # Sort by profit (descending)
    jobs.sort(key=lambda x: x.profit, reverse=True)
    
    # J1(50,d=2), J3(30,d=2), J4(30,d=1), J2(20,d=1)
    # Day 1: J4 or J2? Pick J4 (higher profit)
    # Day 2: J1 (highest remaining)
    # Total: 50 + 30 = 80
    
    schedule = [None] * max_deadline
    for job in jobs:
        # Find latest available slot before deadline
        for slot in range(min(max_deadline, job.deadline) - 1, -1, -1):
            if schedule[slot] is None:
                schedule[slot] = job
                break
    return sum(job.profit for job in schedule if job)
```","Sort by profit: J1($50), J3($30), J4($30), J2($20). Fill slots: Day 2←J1, Day 1←J3 (can't fit J4 as day 1 taken). Wait, recalculate: Day 1←J4, Day 2←J1. Profit = $80.",1,published,hard,apply,blank,dsa,blank,blank,blank,$70,$80,$100,$110,2
Fractional Knapsack Problem,"**A delivery truck (capacity 50kg) loads packages: P1(20kg, $60), P2(30kg, $100), P3(10kg, $120). Items can be divided. Maximum value?**","Calculate value/weight ratio: P1(60/20=3), P2(100/30=3.33), P3(120/10=12). Greedy: Take all P3($120), all P1($60), remaining 20kg of P2(20/30×$100=$66.67). Total = $246.67.",1,published,hard,apply,blank,dsa,blank,blank,blank,$180,$220,$246.67,$280,3
Huffman Coding Compression,"**A file has characters: A(45%), B(13%), C(12%), D(16%), E(9%), F(5%). Using Huffman coding, which characters get shortest codes?**","Huffman builds tree by combining lowest frequency nodes. Character A (45% - highest frequency) gets shortest code (likely 1 bit). Lower frequency characters get longer codes for optimal compression.",1,published,medium,understand,blank,dsa,blank,blank,blank,"E and F","A and D","B and C","All equal length",2
Activity Selection Optimization,"**A machine can process one job at a time. Jobs arrive: J1(start=1, end=3), J2(2,5), J3(4,7), J4(6,9), J5(8,10). Greedy selects jobs by earliest finish time. Which jobs are selected?**","Sort by finish time: J1(end=3), J2(5), J3(7), J4(9), J5(10). Select J1. Next compatible: J3(starts at 4, after J1 ends). Next: J5(starts at 8, after J3 ends). Selected: J1, J3, J5.",1,published,medium,apply,blank,dsa,blank,blank,blank,"J1, J2, J3","J1, J3, J5","J1, J4, J5","J2, J4, J5",2
Platform Assignment Problem,"**A railway station has 2 platforms. Trains arrive/depart: T1(9:00-9:30), T2(9:20-10:00), T3(9:50-10:30), T4(10:00-10:30). What's the minimum platforms needed?**","Find maximum overlap: At 9:50, trains T1 done, T2 (till 10:00), T3 (9:50-10:30) = 2 trains. At 10:00-10:30: T3, T4 = 2 trains. Maximum simultaneous trains = 2, so 2 platforms sufficient.",1,published,medium,analyze,blank,dsa,blank,blank,blank,1,2,3,4,2
Dijkstra's Shortest Path Greedy Choice,"**In Dijkstra's algorithm for finding shortest path from source S to all nodes, why does the greedy choice of always selecting the unvisited node with minimum distance work?**","Once a node is processed in Dijkstra's, its shortest distance is finalized because: (1) All edges have non-negative weights, (2) Any alternate path would go through unprocessed nodes with higher distances, making them longer. The greedy choice is optimal.",1,published,hard,understand,blank,dsa,blank,blank,blank,It's just a heuristic that works most times,Negative edge weights ensure correctness,Non-negative weights guarantee no shorter path exists through unprocessed nodes,The graph must be connected for it to work,3
Egyptian Fraction Representation,"**A payment system represents 5/6 as sum of unit fractions (1/n). Greedy approach: repeatedly subtract largest unit fraction that fits. What's the representation?**","Start with 5/6. Largest unit fraction ≤ 5/6 is 1/2. Remaining: 5/6 - 1/2 = 5/6 - 3/6 = 2/6 = 1/3. Result: 5/6 = 1/2 + 1/3.",1,published,medium,apply,blank,dsa,blank,blank,blank,1/2 + 1/4,1/2 + 1/3,1/3 + 1/3,1/2 + 1/6,2
Prim's MST Greedy Strategy,"**A telecom company connects 5 cities with fiber optic cables to minimize cost. Prim's algorithm starts from city A. Why does always choosing the minimum weight edge connecting the tree to a new vertex guarantee a Minimum Spanning Tree?**","Cut property: For any cut dividing vertices into two sets, the minimum weight edge crossing the cut is in some MST. Prim's always picks minimum edge from tree to non-tree vertices (a cut), guaranteeing optimality.",1,published,hard,understand,blank,dsa,blank,blank,blank,It's a probabilistic guarantee only,The algorithm backtracks if needed,Cut property ensures minimum edge crossing any cut is in MST,Works only for complete graphs,3
