

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Trie vs Hash Table Prefix Search,"**Autocomplete system stores 10M search queries. User types 'face' (4 chars). Hash table: O(1) exact match but O(n) scanning all 10M queries to find prefixes. Trie: what's the complexity for finding all completions?**","Trie prefix search: O(p+k) where p=prefix length (4), k=number of matching results. Traverse prefix path O(4), then DFS/BFS to collect matches O(k). Independent of total entries (10M). Hash table must scan all entries checking if each starts with 'face': O(n) where n=10M. Trie's key advantage: prefix operations. Trade-off: Trie uses more space (ALPHABET_SIZE pointers per node).",1,published,hard,analyze,blank,dsa,blank,blank,blank,Both require O(n) prefix search,Trie achieves O(p+k) for prefix length p and k results; hash needs O(n) scan,Hash table faster for prefix search,Requires sorted array for efficiency,2
Trie Space Complexity,"**Dictionary stores 100K English words (avg length 6 chars, alphabet size 26). Worst case: each character needs new node. Best case: all words share common prefixes. What determines actual space complexity?**","Space: O(ALPHABET_SIZE × N × L) where N=words, L=avg length. With 26-letter alphabet, 100K words, length 6: worst case ~15.6M pointers (26×100K×6). Common prefixes reduce space significantly. Example: 'cat', 'car', 'card' share 'ca' prefix (reuse nodes). Real dictionaries have prefix overlap ~30-50% reduction. Array implementation: each node stores 26 pointers. Optimization: hashmap per node reduces space for sparse branches.",1,published,hard,understand,blank,dsa,blank,blank,blank,O(N) space for N words,O(ALPHABET_SIZE × N × L) with shared prefixes reducing actual usage,O(N log N) for balanced structure,O(L) space for longest word,2
Trie Insertion Time Complexity,"**Inserting word 'algorithm' (9 chars) into trie. Each character needs: check if child exists, create if needed. What's the time complexity and why doesn't it depend on existing word count?**","Insertion: traverse/create nodes for each character in word. Time O(L) where L=word length (9). Independent of existing words in trie because path determined solely by word's characters, not other words. Unlike BST where insertion is O(log n) dependent on tree size. Trie property: insertion cost based on word length, not dictionary size. Each character: O(1) child lookup (array) or O(log ALPHABET_SIZE) (BST per node).",1,published,medium,understand,blank,dsa,blank,blank,blank,O(log n) dependent on trie size,O(L) for word length independent of dictionary size,O(n) comparing with all words,O(L log n) with balancing,2
Delete Word With Shared Prefix,"**Trie contains 'cat', 'cats', 'car'. Deleting 'cats' must not affect 'cat'. What's the deletion strategy to avoid breaking shared prefixes?**

```python
def delete(node, word, depth):
    if depth == len(word):
        node.is_end_of_word = False
        return node.has_no_children()  # Delete node if no children
    
    char = word[depth]
    if char in node.children:
        should_delete = delete(node.children[char], word, depth + 1)
        if should_delete:
            del node.children[char]
            return not node.is_end_of_word and node.has_no_children()
    
    return False
```

**Why check for children and end markers?**","Mark end node as non-terminal (is_end_of_word=False). Recursively delete nodes bottom-up only if: (1) node has no children, (2) node is not end of another word. For 'cats': mark 's' as non-terminal, delete 's' if no children, keep 'cat' nodes. This preserves shared prefix 'cat'. Bottom-up deletion ensures parent nodes deleted only when safe.",1,published,hard,apply,blank,dsa,blank,blank,blank,Always delete all nodes of word,Mark end marker False; delete nodes bottom-up only if no children and not terminal,Delete entire branch from root,Requires rebuilding trie,2
Longest Common Prefix,"**Finding longest common prefix of strings: ['flower', 'flow', 'flight']. Trie approach: insert all, traverse from root until branch/end. What's the result and time complexity?**","Insert all words: O(N×L) where N=3 words, L=avg length. Find LCP: traverse from root while: (1) exactly one child exists, (2) not at word end. For ['flower', 'flow', 'flight']: path f→l, then branches (o vs i). LCP='fl'. Time O(N×L) insertion + O(min_length) traversal. Alternative: sort and compare first/last O(N log N + L). Trie approach useful when LCP queries frequent.",1,published,medium,apply,blank,dsa,blank,blank,blank,'flo' is longest common prefix,'fl' is longest common prefix by traversing until branch,Requires comparing all pairs,No common prefix exists,2
Count Words With Prefix,"**Word frequency counter tracks how many words start with prefix 'pre'. Words: 'prefix', 'prepare', 'present', 'preview', 'apple'. Trie stores count at each node. What's the query complexity?**

```python
class TrieNode:
    def __init__(self):
        self.children = {}
        self.prefix_count = 0  # Words passing through this node
        self.is_end = False
    
def count_prefix(root, prefix):
    node = root
    for char in prefix:
        if char not in node.children:
            return 0
        node = node.children[char]
    return node.prefix_count
```

**Why store prefix count during insertion?**","During insertion, increment prefix_count for each node on path. Query: traverse prefix path O(p), return prefix_count at last node O(1). Total O(p). For prefix 'pre': traverse p→r→e, return count=4 (prefix, prepare, present, preview). Without count: must DFS entire subtree O(k) where k=matching words. Storing count trades space (1 integer per node) for O(1) query after traversal.",1,published,medium,understand,blank,dsa,blank,blank,blank,Requires traversing entire subtree O(k),Traverse prefix path O(p) and return stored count,Must enumerate all words,Binary search on sorted list,2
Lexicographic Ordering,"**Dictionary words stored in trie: 'cat', 'car', 'card', 'dog'. In-order traversal visits nodes alphabetically. What's the traversal sequence?**","Trie naturally maintains lexicographic order. DFS traversal visiting children in sorted order produces alphabetically sorted output. From root: visit 'c' branch (car, card, cat), then 'd' branch (dog). Sequence: 'car'→'card'→'cat'→'dog'. This property enables: (1) sorted iteration O(N×L), (2) range queries, (3) finding next/previous word. Unlike hash table which has no order.",1,published,easy,understand,blank,dsa,blank,blank,blank,"'cat'→'car'→'card'→'dog'","'car'→'card'→'cat'→'dog' following DFS in alphabet order",Requires separate sorting,Traversal order unpredictable,2
Replace Words With Root,"**Text: 'the cattle was rattled by the battery'. Dictionary roots: ['cat', 'bat', 'rat']. Replace words with shortest root: 'the cat was rat by the bat'. How does trie find shortest matching root?**

```python
def replace_words(roots, sentence):
    trie = build_trie(roots)
    words = sentence.split()
    
    for i, word in enumerate(words):
        node = trie.root
        prefix = []
        for char in word:
            if char not in node.children:
                break
            node = node.children[char]
            prefix.append(char)
            if node.is_end:  # Found root, stop early
                words[i] = ''.join(prefix)
                break
    
    return ' '.join(words)
```

**Why stop at first end marker encountered?**","For 'cattle': traverse c→a→t, find 'cat' is root (end marker), stop. Don't continue to 'cattl'. Shortest root replacement rule. Without early stopping, might find longer but non-minimal root. Time O(R) for R roots insertion + O(W×L) for W words checking. Trie enables prefix-based replacement efficiently.",1,published,medium,apply,blank,dsa,blank,blank,blank,Must check all possible roots,Stop at first end marker for shortest root match,Continue to word end always,Requires sorting roots,2
Word Search II In Grid,"**2D grid word search: find all dictionary words. Grid 4×4, dictionary 10K words. Backtracking from each cell: O(16 × 4^(max_word_length) × 10K) checks. How does trie optimize?**","Build trie from dictionary O(total_chars). DFS from each cell, pruning paths not in trie. At each cell: check if current path forms trie prefix. If not, backtrack (no words possible). If end marker, found word. Time O(cells × 4^max_depth) but massive pruning. Without trie: check each word separately. Trie prunes impossible paths early: single DFS finds all words simultaneously. Used in: Boggle solver, word games.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Trie makes no difference in complexity,Trie prunes invalid paths early; single DFS finds all words with prefix matching,Hash table more efficient,Requires preprocessing grid,2
IP Routing Prefix Match,"**Router has forwarding table with IP prefixes: 192.168.0.0/16, 192.168.1.0/24, 10.0.0.0/8. Packet to 192.168.1.50 should match longest prefix. How does binary trie (0/1 bits) find longest matching prefix?**","Build trie with IP bits. For 192.168.1.50: binary 11000000.10101000.00000001.00110010. Traverse trie bit by bit, tracking last prefix match (node with route entry). At end: return longest prefix found. For example: matches /16 at bit 16, matches /24 at bit 24 (longest). Return /24 route. Time O(32) for IPv4 (32 bits). Used in: IP routing, CIDR, network switches.",1,published,hard,apply,blank,dsa,blank,blank,blank,Hash table with exact IP matches,Binary trie with bit-by-bit traversal tracking longest prefix match,Linear search through all prefixes,Requires sorting by prefix length,2
