
# Binary Tree - DSA Assessment (CSV Format)

Below is your CSV data with 20 industry-oriented MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
E-Commerce Category Tree,"**An e-commerce platform organizes product categories using a binary tree structure:**

```
Electronics
├── Computers
│   ├── Laptops
│   └── Desktops
└── Mobile
    ├── Phones
    └── Tablets
```

**Each category node stores its name and links to at most two subcategories. What is the maximum number of categories that can be stored at level 3 (root is level 0)?**","In a binary tree, the maximum number of nodes at level k is 2^k. At level 3, the maximum is 2^3 = 8 nodes.",1,published,easy,understand,blank,c-programming,blank,blank,blank,3,4,8,16,3
File System Directory Navigator,"**A file system uses a binary tree where each directory node has at most two subdirectories:**

```c
struct Directory {
    char name[50];
    struct Directory *left_subdir;
    struct Directory *right_subdir;
};
```

**What property distinguishes a binary tree from other tree structures?**","A binary tree is defined by the constraint that each node can have at most two children (left and right), unlike general trees where nodes can have any number of children.",1,published,easy,understand,blank,c-programming,blank,blank,blank,Each node must have exactly two children,Each node stores binary data only,Each node has at most two children,The tree has exactly two levels,3
Tournament Bracket System,"**A sports tournament uses a binary tree where each match winner advances:**

```
         Final
        /      \
    Semi1      Semi2
    /  \       /  \
  Q1   Q2    Q3   Q4
```

**If there are 16 teams in the tournament, what is the height of the tournament tree?**","With 16 teams (leaf nodes), the height is log2(16) = 4. Height is the number of edges from root to deepest leaf.",1,published,medium,apply,blank,c-programming,blank,blank,blank,3,4,5,16,2
Company Organizational Chart,"**A startup's organizational structure is represented as a binary tree:**

```c
struct Employee {
    int emp_id;
    char name[50];
    struct Employee *left_report;
    struct Employee *right_report;
};

struct Employee* createEmployee(int id, char* name) {
    struct Employee* newEmp = malloc(sizeof(struct Employee));
    newEmp->emp_id = id;
    strcpy(newEmp->name, name);
    newEmp->left_report = NULL;
    newEmp->right_report = NULL;
    return newEmp;
}
```

**What is the significance of setting both pointers to NULL during node creation?**","Setting pointers to NULL indicates the employee currently has no direct reports (leaf node). This prevents accessing garbage memory addresses and allows checking if a node is a leaf.",1,published,easy,understand,blank,c-programming,blank,blank,blank,It prevents memory leaks,It indicates the node is a leaf with no children,It makes the tree balanced,It improves insertion speed,2
Decision Tree Chatbot,"**A customer service chatbot uses a binary tree for decision flow:**

```c
void processQuery(TreeNode* node) {
    if (node->left == NULL && node->right == NULL) {
        printf(""Solution: %s\n"", node->solution);
        return;
    }
    // Continue traversing based on user response
}
```

**What does the condition check identify?**","The condition (node->left == NULL && node->right == NULL) checks if both children are absent, identifying a leaf node which contains the final solution/answer.",1,published,easy,apply,blank,c-programming,blank,blank,blank,Root node,Leaf node,Internal node,Parent node,2
Social Media Comment Thread,"**A social media platform displays comment threads in preorder traversal:**

```c
void displayComments(Comment* root) {
    if (root == NULL) return;
    printf(""Comment by %s: %s\n"", root->author, root->text);
    displayComments(root->left);
    displayComments(root->right);
}
```

**Given a tree: Root(A) -> Left(B) -> Right(C), where B has children D(left) and E(right), what is the display order?**","Preorder traversal visits nodes in order: Root -> Left subtree -> Right subtree. Order: A, B, D, E, C.",1,published,medium,apply,blank,c-programming,blank,blank,blank,"A, B, C, D, E","A, B, D, E, C","D, B, E, A, C","A, C, B, E, D",2
Music Playlist Analyzer,"**A music app analyzes song preferences using inorder traversal:**

```c
void analyzeSongs(SongNode* root) {
    if (root == NULL) return;
    analyzeSongs(root->left);
    printf(""Song: %s - Plays: %d\n"", root->title, root->play_count);
    analyzeSongs(root->right);
}
```

**For a BST storing songs sorted by play count, what advantage does inorder traversal provide?**","Inorder traversal of a Binary Search Tree visits nodes in sorted order (ascending). This efficiently displays songs from least to most played without additional sorting.",1,published,medium,understand,blank,c-programming,blank,blank,blank,It finds the most played song fastest,It displays songs in sorted order,It uses less memory than other traversals,It processes songs in insertion order,2
Network Server Hierarchy,"**A CDN network uses postorder traversal to shut down servers:**

```c
void shutdownServers(Server* root) {
    if (root == NULL) return;
    shutdownServers(root->left);
    shutdownServers(root->right);
    printf(""Shutting down server: %s\n"", root->name);
    freeServer(root);
}
```

**Why is postorder traversal appropriate for this deletion operation?**","Postorder (Left -> Right -> Root) ensures child nodes are processed before their parent. This is crucial for deletion to avoid accessing freed memory and properly deallocate the entire tree.",1,published,hard,analyze,blank,c-programming,blank,blank,blank,It's the fastest traversal method,Children must be freed before their parent to avoid memory errors,It processes servers in alphabetical order,It minimizes network downtime,2
Hospital Patient Triage System,"**An emergency room uses level-order traversal to process patients:**

```c
void processPatients(PatientNode* root) {
    Queue* q = createQueue();
    enqueue(q, root);
    while (!isEmpty(q)) {
        PatientNode* current = dequeue(q);
        treatPatient(current);
        if (current->left) enqueue(q, current->left);
        if (current->right) enqueue(q, current->right);
    }
}
```

**What characteristic of level-order traversal makes it suitable for this triage scenario?**","Level-order traversal processes nodes level by level (breadth-first), ensuring patients at the same priority level are treated before moving to next level, implementing fair FIFO-style processing.",1,published,medium,analyze,blank,c-programming,blank,blank,blank,It finds critical patients fastest,It processes all patients at the same level before moving deeper,It uses less memory than recursive traversals,It sorts patients by arrival time,2
E-Learning Course Prerequisites,"**An online learning platform calculates total course duration:**

```c
int calculateTotalHours(Course* root) {
    if (root == NULL) return 0;
    return root->duration + 
           calculateTotalHours(root->left) + 
           calculateTotalHours(root->right);
}
```

**If the tree has courses: Root(10hrs), Left(5hrs), Right(8hrs), Left->Left(3hrs), what is the total?**","The function recursively sums all node values: 10 + 5 + 8 + 3 = 26 hours.",1,published,easy,apply,blank,c-programming,blank,blank,blank,23,26,18,15,2
