# Searching & Sorting - DSA Assessment (CSV Format)

Below is your CSV data with 30 industry-oriented MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Binary Search Prerequisite Analysis,"**A database query optimizer must search through 1 million sorted user IDs. The system designer proposes binary search for O(log n) lookups. However, the user ID list is maintained in a linked list structure. What is the critical issue with this implementation?**","Binary search requires O(1) random access to calculate middle element. Linked lists have O(n) access time to reach middle element, making binary search inefficient. Each of log n iterations requires O(n/2) traversal on average, resulting in O(n log n) total time - worse than linear search O(n). Array or array-backed structure needed for true O(log n) binary search.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Binary search will work fine with O(log n) complexity,Linked list O(n) middle access makes binary search O(n log n) - worse than linear,Binary search requires sorted data which linked lists cannot maintain,Memory overhead makes binary search impossible,2
Quick Sort Partition Pivot Choice,"**Consider QuickSort implementations with different pivot strategies on already sorted array [1,2,3,4,5,6,7,8,9,10]. Which statement about pivot selection is correct?**","First/last element as pivot on sorted data creates worst case O(n²): each partition has n-1 elements on one side, 0 on other. Causes maximum recursion depth of n. Random pivot gives expected O(n log n) even on sorted data. Median-of-three (first, middle, last) also avoids worst case on sorted input.",1,published,hard,analyze,blank,dsa,blank,blank,blank,All pivot strategies perform identically on sorted data,First/last element pivot causes O(n²) on sorted data; random or median-of-three maintains O(n log n),Sorted data is best case for QuickSort regardless of pivot,Pivot choice only affects space complexity not time,2
Merge Sort Space Complexity Trade-off,"**A memory-constrained embedded system (512KB RAM) needs to sort 1 million 4-byte integers (4MB total). Standard merge sort requires O(n) auxiliary space for merging. What approach enables merge sort with better space efficiency?**","Standard merge sort uses O(n) temporary array during merge. In-place merge sort exists but is complex with O(n log²n) time due to rotation operations during merge. For space-constrained systems, alternatives: (1) QuickSort O(log n) stack space, (2) HeapSort O(1) space, or (3) External merge sort for data larger than RAM, using disk with O(1) RAM.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Use recursive merge sort which uses O(log n) stack space,Standard merge sort needs O(n) space; alternatives are QuickSort O(log n) or HeapSort O(1),Merge sort can be made fully in-place with O(n log n) time,Split data into chunks and merge in-place trivially,2
Stability Requirement Scenario,"**A university sorts student records by exam score (primary) and registration date (secondary). Initial data sorted by date. After sorting by score, students with same score should maintain date order. Which algorithms preserve this requirement?**","Stability means equal elements maintain relative order. Stable algorithms: Merge Sort, Insertion Sort, Bubble Sort, Counting Sort. Unstable: QuickSort (due to swaps), HeapSort (heap operations), Selection Sort (long-distance swaps). For this scenario, stable sort required to preserve date order within same score groups.",1,published,medium,understand,blank,dsa,blank,blank,blank,"QuickSort and HeapSort, both O(n log n)","Merge Sort and Insertion Sort (stable algorithms) preserve date order for equal scores","Any O(n log n) algorithm works, stability doesn't matter","Selection Sort and Bubble Sort only",2
Interpolation Search Applicability,"**A search system handles two datasets: (1) uniformly distributed employee IDs 1000-9999, (2) exponentially growing transaction IDs. When is interpolation search superior to binary search?**

```python
def interpolation_search(arr, target):
    low, high = 0, len(arr) - 1
    
    while low <= high and arr[low] <= target <= arr[high]:
        if arr[low] == arr[high]:
            return low if arr[low] == target else -1
        
        # Estimate position based on value distribution
        pos = low + ((target - arr[low]) * (high - low)) // (arr[high] - arr[low])
        
        if arr[pos] == target:
            return pos
        elif arr[pos] < target:
            low = pos + 1
        else:
            high = pos - 1
    
    return -1
```

**What is the critical assumption for interpolation search efficiency?**","Interpolation search assumes uniform distribution for O(log log n) average case. Employee IDs 1000-9999 uniformly distributed - interpolation search efficient. Transaction IDs exponentially growing - position estimation poor, degrades toward O(n). Binary search consistently O(log n) regardless of distribution. Distribution uniformity is critical assumption.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Works equally well on both datasets with O(log log n),Efficient only on uniformly distributed data (employee IDs); poor on skewed data (transactions),Requires sorted data which transactions don't have,Always faster than binary search on sorted data,2
Counting Sort Integer Range,"**A gaming leaderboard sorts 10 million player scores ranging from 0 to 100. Memory allows O(n) auxiliary space. Compare Counting Sort O(n+k) vs QuickSort O(n log n) where k=range.**","Counting Sort: O(n+k) = O(10M + 100) ≈ O(n) linear time, creates count array of size k=101. Stable sort. Perfect for small range (k << n). Space O(n+k). QuickSort: O(n log n) ≈ O(10M × 23) comparisons, O(log n) space. For k=100, counting sort dramatically faster. However, if scores were 0 to 1 billion, k >> n makes counting sort impractical.",1,published,medium,analyze,blank,dsa,blank,blank,blank,QuickSort always better for large n,Counting Sort O(n+k) optimal when k is small relative to n; k=100 makes it significantly faster,Both have same performance on this data,Counting Sort requires k < n which isn't satisfied,2
Jump Search Block Size,"**Jump search on sorted array of n=10000 elements uses block size m. Algorithm jumps m elements at a time, then linear searches within block. What block size minimizes comparisons?**","Jump search: make n/m jumps, then linear search up to m elements in final block. Total comparisons ≈ n/m + m. Minimized when n/m = m, so m = √n. For n=10000, optimal m=100. Proof: derivative of (n/m + m) with respect to m equals zero at m=√n. Time complexity O(√n) with optimal block size.",1,published,hard,apply,blank,dsa,blank,blank,blank,m = n/2 for balanced jumps,m = √n = 100 minimizes total comparisons,m = log n for logarithmic jumps,m = n/log n for optimal performance,2
Selection Sort Minimum Comparisons,"**Selection sort always performs exactly (n-1) + (n-2) + ... + 1 = n(n-1)/2 comparisons regardless of input. For n=1000 elements, this equals 499,500 comparisons. Why doesn't input order affect comparison count unlike other O(n²) algorithms?**","Selection sort always scans entire unsorted portion to find minimum, regardless of whether array is sorted, reverse sorted, or random. Each iteration i finds minimum among remaining (n-i) elements. Unlike bubble/insertion sort which can terminate early on sorted data, selection sort cannot skip comparisons. Comparison count fixed at n(n-1)/2.",1,published,medium,understand,blank,dsa,blank,blank,blank,Selection sort adapts to input and reduces comparisons,Selection sort always scans remaining elements for minimum; cannot optimize based on input order,Only applies to worst case; best case is O(n),Comparison count varies with initial order,2
Insertion Sort Best Case,"**An almost-sorted array has k elements out of position where k << n. Insertion sort's performance on such data is:**","Insertion sort best case O(n) when array already sorted - each element compared once with predecessor. For k inversions (out-of-place elements), time O(n + k×d) where d is displacement distance. When k << n and displacements small, performs much better than O(n²) worst case. Adaptive algorithm exploiting partial sortedness. Real-world data often nearly sorted (new records, time-series).",1,published,medium,understand,blank,dsa,blank,blank,blank,Still O(n²) regardless of partial sortedness,O(n + k×d) where k=inversions; nearly O(n) when k << n making it adaptive,O(n log n) due to binary search optimization,O(k²) depending only on out-of-place elements,2
Bubble Sort Optimization,"**Standard bubble sort makes n-1 passes. Optimized version uses a flag to detect when no swaps occur. Complete the optimization:**

```python
def bubble_sort_optimized(arr):
    n = len(arr)
    for i in range(n):
        swapped = False
        for j in range(n - i - 1):
            if arr[j] > arr[j + 1]:
                arr[j], arr[j + 1] = arr[j + 1], arr[j]
                # What should happen here?
                _______________
        # What check enables early termination?
        if _______________:
            break
    return arr
```

**What are the two missing pieces?**","After swap, set swapped = True to indicate changes occurred. After inner loop, check if not swapped (no swaps in entire pass) means array is sorted - break early. On already sorted array, detects after first pass and terminates. Best case becomes O(n) instead of O(n²). Worst case still O(n²) for reverse sorted.",1,published,medium,apply,blank,dsa,blank,blank,blank,"Set swapped = True after swap; break if swapped == True","Set swapped = True after swap; break if not swapped (no changes in pass)","Set swapped = i; break if swapped == n","Count swaps; break if count == 0",2
Binary Search Boundary Condition,"**Binary search for target in [1,2,3,4,5,5,5,6,7]. Find FIRST occurrence of 5:**

```python
def find_first_occurrence(arr, target):
    left, right = 0, len(arr) - 1
    result = -1
    
    while left <= right:
        mid = left + (right - left) // 2
        
        if arr[mid] == target:
            result = mid
            # What should happen next?
            _______________
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    
    return result
```

**What goes in the blank to find FIRST occurrence?**","When target found at mid, don't return immediately. Store mid in result, then continue searching left half (right = mid - 1) to find earlier occurrence. Standard binary search returns any occurrence. For first occurrence, search left; for last occurrence, search right after finding target.",1,published,medium,apply,blank,dsa,blank,blank,blank,return mid immediately,right = mid - 1 (continue searching left half),left = mid + 1 (continue searching right half),break and return result,2
Quick Sort In-Place Property,"**Quick sort is typically O(log n) space due to recursion stack. In worst case (already sorted with bad pivot), what is the space complexity and why?**","Quick sort space comes from recursion call stack. Best/average case: balanced partitions create O(log n) depth. Worst case: unbalanced partitions (all elements one side) create O(n) recursion depth, requiring O(n) stack space. Not truly in-place in worst case. HeapSort guarantees O(1) auxiliary space if true in-place needed.",1,published,hard,understand,blank,dsa,blank,blank,blank,Always O(log n) due to divide-and-conquer,O(n) in worst case due to unbalanced recursion tree depth,O(1) as it sorts in-place,O(n) for the temporary partition arrays,2
Heap Sort Stability,"**Heap sort is inherently unstable. Given records with same key, heap operations don't preserve original order. Why can't heap sort be easily made stable unlike quick sort?**","Heap structure requires parent-child swaps based solely on key values. When equal keys exist, heap property doesn't encode original position. Making stable requires tracking original indices (extra space) or restructuring heap operations (performance loss). QuickSort can be stabilized by careful partitioning. MergeSort naturally stable through merge operation.",1,published,hard,understand,blank,dsa,blank,blank,blank,Heap sort can be made stable with minor modifications,Heap operations swap based only on keys without position information; stability requires tracking original order,Heap sort is actually stable by default,Only matters for linked lists not arrays,2
Radix Sort Digit Processing,"**Radix sort processes 1000 integers (max value 999,999) using LSD (Least Significant Digit) approach with base-10. How many passes required and what is time complexity?**","Max value 999,999 has 6 digits. Radix sort makes one pass per digit position = 6 passes. Each pass uses counting sort O(n+k) where k=base=10. Total time O(d×(n+k)) = O(6×(1000+10)) ≈ O(n) when d is constant. Space O(n+k). Efficient for integers with limited digits. Would need 20 passes for 64-bit integers.",1,published,medium,apply,blank,dsa,blank,blank,blank,"3 passes for 999,999","6 passes (one per digit); time O(d×(n+k)) ≈ O(n) when d constant","10 passes (one per base-10 digit possibility)","1000 passes equal to array size",2
Merge Sort Linked List Advantage,"**Merge sort performs better on linked lists than arrays in one specific aspect. What is it?**","Merge sort on linked lists requires O(1) space - can merge in-place by changing pointers, no auxiliary array needed. For arrays, merge requires O(n) temporary space. However, linked list has poor cache locality. Arrays benefit from cache-friendly sequential access. For space-constrained systems with linked list data, merge sort optimal.",1,published,medium,understand,blank,dsa,blank,blank,blank,Faster time complexity O(n) for linked lists,O(1) space merging by pointer manipulation; arrays need O(n) auxiliary space,Better cache locality with linked lists,Linked lists enable parallel processing,2
Bucket Sort Distribution Assumption,"**Bucket sort divides elements into k buckets, sorts each bucket, concatenates. For uniform distribution over [0,1), expected time is O(n). What happens if data is heavily skewed - all elements fall in one bucket?**","If all n elements fall in single bucket, bucket sort degrades to sorting n elements with underlying algorithm (typically insertion sort O(n²)). Uniform distribution assumption critical for O(n) performance. Each bucket should have O(n/k) elements on average. Hash function quality matters - poor hashing causes skew.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Still O(n) due to bucket sort's algorithm,Degrades to O(n²) if using insertion sort for bucket; uniform distribution assumption critical,Automatically redistributes to maintain performance,Time becomes O(k) based on buckets,2
Binary Search Invariant,"**Binary search maintains invariant: target (if exists) is always in range [left, right]. What is the critical error in this implementation?**

```python
def binary_search_buggy(arr, target):
    left, right = 0, len(arr) - 1
    
    while left < right:  # Note: left < right
        mid = (left + right) // 2
        
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid
        else:
            right = mid
    
    return -1
```

**What causes infinite loop?**","When left < right (not <=), and target not found, loop may not terminate. Specifically when left and right are adjacent: if arr[mid] < target, setting left = mid (not mid+1) keeps left unchanged, causing infinite loop. Correct: left = mid + 1 or right = mid - 1 after excluding mid, OR use while left <= right with proper updates.",1,published,hard,apply,blank,dsa,blank,blank,blank,Should use left <= right in while condition,"Setting left = mid without +1 can cause infinite loop when left and right adjacent","Integer overflow in (left + right) // 2",Array bounds checking missing,2
Shell Sort Gap Sequence,"**Shell sort is insertion sort with decreasing gap sequence. Original sequence: n/2, n/4, ..., 1. Knuth's sequence: (3^k - 1)/2. For n=1000, which statement is correct about time complexity?**","Shell sort time complexity depends on gap sequence. Worst case with original sequence O(n²). Knuth's sequence improves to O(n^(3/2)). Sedgewick's sequence achieves O(n^(4/3)). Best known sequences approach O(n log² n). No gap sequence gives O(n log n). Still slower than MergeSort/QuickSort but better than O(n²) quadratic sorts.",1,published,hard,understand,blank,dsa,blank,blank,blank,Always O(n²) regardless of gap sequence,"Gap sequence affects complexity; Knuth's gives O(n^(3/2)), better than O(n²) but not O(n log n)","Achieves O(n log n) with optimal gap sequence","O(n) with correct gaps on random data",2
Three-Way Partitioning QuickSort,"**Dutch National Flag variant of QuickSort uses three-way partitioning: elements < pivot, = pivot, > pivot. When is this optimization crucial?**","Three-way partitioning critical when duplicate elements common. Standard QuickSort O(n²) on all-equal array (each partition separates only one element). Three-way creates three regions: recursively sort only < and > regions, ignoring = region already in place. Reduces to O(n) when all elements equal. Important for datasets with many duplicates.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Only helps with pre-sorted data,"Critical when many duplicates exist; standard QuickSort O(n²) on equal elements, three-way reduces to O(n)",Makes no difference to worst-case complexity,Required for stable sorting only,2
Linear Search Early Termination,"**Linear search on unsorted array must check all n elements in worst case. If array is sorted, can we terminate early when target not found?**","On sorted array, linear search can terminate when element exceeds target (target cannot exist further). Reduces average unsuccessful search from n to n/2 comparisons. However, binary search O(log n) is far superior for sorted data. Linear search benefit of early termination minor compared to algorithm change.",1,published,easy,understand,blank,dsa,blank,blank,blank,Cannot terminate early even on sorted array,"Can terminate when current element > target on sorted array, reduces average to n/2",Sorted arrays use binary search only,Requires additional flag variable,2
