# Dynamic Programming - DSA Assessment (CSV Format)

Below is your CSV data with 30 industry-oriented MCQs. **Copy everything from the code block below** and save it as a `.csv` file:

```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Warehouse Inventory Optimization,"**A logistics company optimizes inventory across warehouses. They need to decide weekly stock levels for 12 weeks with fluctuating demand. Why is Dynamic Programming more suitable than Greedy for this problem?**","DP is needed because decisions are interdependent - stocking choices in early weeks affect costs and availability in later weeks. Greedy makes locally optimal choices without considering future impact. DP builds optimal solution by considering all future consequences through overlapping subproblems.",1,published,medium,understand,blank,dsa,blank,blank,blank,DP is faster than Greedy,Current decisions affect future states; DP considers all consequences while Greedy doesn't,Greedy cannot handle multiple warehouses,DP uses less memory,2
Fibonacci Sequence Performance,"**A financial modeling system calculates Fibonacci numbers for risk assessment. Computing F(50) using naive recursion makes 2^50 calls. Using memoization, approximately how many unique subproblems are solved?**","Fibonacci F(n) has only n+1 unique subproblems: F(0), F(1), F(2)...F(n). Each is computed once and cached. For F(50), we compute 51 unique values despite exponential recursive calls in naive approach.",1,published,medium,analyze,blank,dsa,blank,blank,blank,50,51,2^50,100,2
Rod Cutting Manufacturing,"**A steel manufacturer cuts rods into pieces for sale. A 8-meter rod can be cut with prices: 1m($1), 2m($5), 3m($8), 4m($9), 5m($10), 6m($17), 7m($17), 8m($20). What's the maximum revenue?**

```python
def rod_cutting(length, prices):
    dp = [0] * (length + 1)
    
    for i in range(1, length + 1):
        max_val = float('-inf')
        for j in range(1, i + 1):
            max_val = max(max_val, prices[j-1] + dp[i-j])
        dp[i] = max_val
    
    return dp[length]
```","DP builds solution bottom-up. For 8m: Best cut is 2m+6m = $5+$17 = $22 (better than 8m=$20 or other combinations). DP tries all possible first cuts and combines with optimal solution for remainder.",1,published,hard,apply,blank,dsa,blank,blank,blank,$20,$21,$22,$24,3
Cloud Storage Cost Optimization,"**A cloud provider charges differently for storage tiers. You need to store 10TB across 5 months with varying prices and transfer costs between tiers. Why does this require DP instead of selecting cheapest tier each month?**","Transfer costs between tiers create dependencies. Optimal choice for month M depends on tier chosen in month M-1 (transition cost). DP considers all paths through state space, while greedy only looks at current month's price.",1,published,hard,understand,blank,dsa,blank,blank,blank,Greedy is actually sufficient here,DP handles transfer costs between states that greedy ignores,Cloud problems always need DP,DP is required for cost minimization,2
Coin Change Minimum Coins,"**A vending machine makes change using coins [1, 5, 6, 9]. To make 11 cents, greedy (largest first) gives 9+1+1 = 3 coins. What's the minimum using DP?**","DP finds optimal: 5+6 = 2 coins. DP equation: dp[amount] = min(dp[amount - coin] + 1) for all coins. Greedy fails because 9 cent coin leads to suboptimal path. DP explores all possibilities.",1,published,medium,apply,blank,dsa,blank,blank,blank,2 coins,3 coins,4 coins,5 coins,1
Investment Portfolio Selection,"**An investor has $50,000 and 4 investment opportunities: I1($12k return $3k), I2($20k return $5k), I3($15k return $4k), I4($25k return $6k). Each investment is indivisible. Maximum return?**","This is 0/1 knapsack. DP solution: Select I1($12k→$3k) + I2($20k→$5k) + I3($15k→$4k) = $47k invested, $12k return. Or I2+I4 = $45k invested, $11k return. Or I1+I4 = $37k invested, $9k return. Best: I1+I2+I3 with $12k return.",1,published,hard,apply,blank,dsa,blank,blank,blank,$9k,$11k,$12k,$15k,3
Longest Common Subsequence - DNA Matching,"**A genomics lab compares DNA sequences: AGGTAB and GXTXAYB. Finding longest common subsequence helps identify genetic similarities. What's the LCS length?**","LCS = GTAB (length 4). DP builds solution: if characters match, add 1 + LCS(i-1, j-1). If not, max(LCS(i-1,j), LCS(i,j-1)). Each cell represents optimal solution for substrings.",1,published,medium,apply,blank,dsa,blank,blank,blank,3,4,5,6,2
Matrix Chain Multiplication Order,"**A data pipeline multiplies matrices: A(10×20), B(20×30), C(30×40), D(40×30). Matrix multiplication is associative. Different parenthesizations have different costs. Minimum scalar multiplications needed?**","DP finds optimal order. Cost of multiplying (p×q) and (q×r) matrices is p×q×r. Try all split points: ((AB)C)D, (A(BC))D, (AB)(CD), A((BC)D), A(B(CD)). Optimal: ((AB)C)D = 10×20×30 + 10×30×40 + 10×40×30 = 6000+12000+12000 = 30000 operations.",1,published,hard,apply,blank,dsa,blank,blank,blank,"18,000","24,000","30,000","36,000",3
Edit Distance Text Processing,"**An autocorrect system calculates minimum edits to transform 'SATURDAY' to 'SUNDAY'. Operations: insert, delete, replace (each cost 1). What's the minimum edit distance?**","DP solves edit distance: SATURDAY→SUNDAY requires 3 operations. One optimal path: delete 'A', delete 'T', delete 'R'. DP equation: if chars match, take diagonal; else 1 + min(insert, delete, replace).",1,published,medium,apply,blank,dsa,blank,blank,blank,2,3,4,5,2
Subset Sum Payment Validation,"**A payment system checks if a transaction of $23 can be validated using available denominations: [3, 5, 7, 8, 11, 15, 20]. Can $23 be formed?**","DP approach: dp[amount] = true if achievable. $23 can be formed: 8+15=23 or 3+20=23. DP iterates through amounts, marking reachable sums. This is boolean subset sum (coin change variant).",1,published,medium,apply,blank,dsa,blank,blank,blank,"No, impossible","Yes, possible","Need more denominations","Depends on coin availability",2
